DATE,GDP,Real GDP,Base Money,GDPDEF,CPIAUCSL,GDP Deflator
1947-01-01,243.16400000000002,2033.0610000000001,33.707,11.96,21.48,11.960487166887763
1947-04-01,245.968,2027.639,33.153,12.130999999999998,22.0,12.130758976326653
1947-07-01,249.585,2023.4520000000002,33.409,12.335,22.23,12.334614312570794
1947-10-01,259.745,2055.103,34.12,12.639000000000001,22.91,12.639025878508278
1948-01-01,265.742,2086.0170000000003,34.144,12.739,23.68,12.739205864573492
1948-04-01,272.567,2120.45,33.001999999999995,12.854000000000001,23.82,12.854205475252897
1948-07-01,279.19599999999997,2132.598,33.222,13.092,24.4,13.091825088460176
1948-10-01,280.366,2134.981,33.554,13.132,24.31,13.13201382120028
1949-01-01,275.034,2105.562,33.335,13.062000000000001,24.01,13.062260812077724
1949-04-01,271.351,2098.38,32.59,12.931,23.92,12.931451881927963
1949-07-01,272.889,2120.044,32.893,12.872,23.7,12.871855489791722
1949-10-01,270.627,2102.251,33.008,12.873,23.67,12.873201154381658
1950-01-01,280.828,2184.8720000000003,33.033,12.853,23.51,12.853293007553756
1950-04-01,290.383,2251.507,32.483000000000004,12.897,23.65,12.89727280439279
1950-07-01,308.153,2338.514,32.734,13.177,24.07,13.177299772419579
1950-10-01,319.945,2383.291,33.119,13.425,24.5,13.42450418350088
1951-01-01,336.0,2415.66,33.43,13.909,25.38,13.909242194679717
1951-04-01,344.09,2457.5170000000003,33.358000000000004,14.002,25.92,14.001530813418583
1951-07-01,351.385,2508.166,33.876999999999995,14.01,25.91,14.009638915446585
1951-10-01,356.17800000000005,2513.69,34.705,14.17,26.16,14.169527666498258
1952-01-01,359.82,2540.55,35.21,14.163,26.45,14.163074924721023
1952-04-01,361.03,2546.022,34.61,14.18,26.46,14.180160265700767
1952-07-01,367.70099999999996,2564.401,35.45,14.339,26.68,14.33867012218448
1952-10-01,380.81199999999995,2648.6209999999996,35.961,14.378,26.69,14.37774600443023
1953-01-01,387.98,2697.855,36.465,14.380999999999998,26.64,14.381054578544807
1953-04-01,391.749,2718.7090000000003,35.83,14.409,26.69,14.40937592070354
1953-07-01,391.171,2703.4109999999996,36.556,14.47,26.79,14.469534968970684
1953-10-01,385.97,2662.482,36.775999999999996,14.497,26.95,14.496623826940427
1954-01-01,385.345,2649.755,37.083,14.543,26.94,14.542665265279242
1954-04-01,386.121,2652.643,36.159,14.556,26.86,14.556086137486272
1954-07-01,390.996,2682.6009999999997,36.611,14.575,26.86,14.575257371483872
1954-10-01,399.73400000000004,2735.091,36.983000000000004,14.615,26.72,14.615016465631308
1955-01-01,413.07300000000004,2813.212,37.107,14.683,26.77,14.683322835250243
1955-04-01,421.532,2858.988,36.641999999999996,14.744000000000002,26.79,14.744098261342826
1955-07-01,430.221,2897.598,37.085,14.847000000000001,26.76,14.847504726328498
1955-10-01,437.092,2914.993,37.29,14.995,26.82,14.994615767516423
1956-01-01,439.746,2903.671,37.518,15.144,26.83,15.14448434412852
1956-04-01,446.01,2927.665,37.022,15.234000000000002,26.93,15.23432496545882
1956-07-01,451.191,2925.035,37.492,15.425,27.29,15.42514875890374
1956-10-01,460.463,2973.179,37.611999999999995,15.487,27.51,15.487227644215166
1957-01-01,469.779,2992.219,37.96,15.7,27.67,15.700020620148457
1957-04-01,472.025,2985.663,37.468,15.81,27.93,15.809721324878259
1957-07-01,479.49,3014.9190000000003,37.948,15.904000000000002,28.19,15.903909856284695
1957-10-01,474.86400000000003,2983.7270000000003,37.869,15.915,28.32,15.915128964546687
1958-01-01,467.54,2906.2740000000003,37.993,16.087,28.64,16.087264999790108
1958-04-01,471.978,2925.3790000000004,37.78,16.134,28.94,16.133909486599855
1958-07-01,485.841,2993.0679999999998,38.64,16.232,28.89,16.232207220150027
1958-10-01,499.555,3063.085,38.615,16.309,28.91,16.308884670193613
1959-01-01,510.33,3121.9359999999997,38.994,16.347,29.01,16.346587502114073
1959-04-01,522.653,3192.38,38.61,16.372,28.98,16.37189181739016
1959-07-01,525.034,3194.653,39.265,16.435,29.15,16.434773980147455
1959-10-01,528.6,3203.759,39.175,16.499000000000002,29.35,16.499368398184757
1960-01-01,542.648,3275.757,39.423,16.566,29.37,16.565575529564615
1960-04-01,541.08,3258.0879999999997,38.646,16.607,29.54,16.607286236590298
1960-07-01,545.604,3274.0290000000005,39.327,16.665,29.55,16.66460498669987
1960-10-01,540.197,3232.009,39.562,16.714000000000002,29.75,16.713969546495694
1961-01-01,545.018,3253.8259999999996,39.966,16.75,29.84,16.750065922394132
1961-04-01,555.545,3309.059,39.318000000000005,16.789,29.81,16.78860969236269
1961-07-01,567.664,3372.5809999999997,40.005,16.832,29.92,16.8317380664838
1961-10-01,580.612,3438.7209999999995,40.555,16.885,29.98,16.884533522783617
1962-01-01,594.013,3500.054,41.242,16.972,30.04,16.97153815341135
1962-04-01,600.366,3531.683,40.900999999999996,16.999000000000002,30.21,16.999430583095933
1962-07-01,609.0269999999999,3575.07,41.755,17.035,30.22,17.03538671970059
1962-10-01,612.28,3586.827,41.985,17.07,30.38,17.070240633295107
1963-01-01,621.672,3625.9809999999998,42.753,17.145,30.44,17.144932640297895
1963-04-01,629.752,3666.6690000000003,42.566,17.175,30.48,17.175043615881332
1963-07-01,644.444,3747.278,43.757,17.198,30.69,17.197656538959745
1963-10-01,653.938,3771.845,44.045,17.337,30.75,17.337350819028885
1964-01-01,669.822,3851.366,45.132,17.392,30.94,17.391803323807707
