DATE,Total Assets,Repurchase Agreements,U.S. Treasuries Held Outright by Federal Reserve,Mortgage-backed Securities Held by the Federal Reserves,Total Liabilities,Monetary Base,Monetary Base not Sterilized by the Federal Reserve,Excess Reserves,Treasury's General Account,Reverse Repurchase Agreements
2003-06-01,744896.0,32000.0,650859.0,0.0,727404.0,716382.0,661167.0,1617.0,4825.0,21857.0
2003-06-08,731667.0,19000.0,651403.0,0.0,714137.0,714790.0,660078.0,1979.0,6126.0,21673.0
2003-06-15,743236.0,32500.0,651603.0,0.0,725472.0,714790.0,659386.0,1979.0,6031.0,21211.0
2003-06-22,735926.0,23000.0,651922.0,0.0,718315.0,713857.0,658805.0,2012.0,8086.0,22901.0
2003-06-29,744018.0,32000.0,651993.0,0.0,726379.0,713857.0,658969.0,2012.0,5306.0,21592.0
2003-07-06,740126.0,26000.0,652353.0,0.0,722591.0,718537.0,664475.0,2252.0,5707.0,21045.0
2003-07-13,744430.0,29250.0,652451.0,0.0,726863.0,718537.0,663529.0,2252.0,6356.0,20254.0
2003-07-20,737765.0,24000.0,652690.0,0.0,720196.0,717402.0,660851.0,1612.0,5724.0,20346.0
2003-07-27,745665.0,32000.0,652827.0,0.0,727718.0,717402.0,659725.0,1612.0,6058.0,19672.0
2003-08-03,740295.0,26250.0,652856.0,0.0,722701.0,716946.0,660686.0,2139.0,6174.0,19316.0
2003-08-10,734018.0,18250.0,653024.0,0.0,716271.0,716946.0,662226.0,2139.0,6400.0,19062.0
2003-08-17,735386.0,19000.0,653278.0,0.0,717502.0,720899.0,662014.0,5685.0,5720.0,19138.0
2003-08-24,750825.0,39500.0,653516.0,0.0,733103.0,720899.0,661727.0,5685.0,6533.0,20344.0
2003-08-31,740637.0,29000.0,653671.0,0.0,722929.0,723122.0,663418.0,2207.0,5441.0,19119.0
2003-09-07,750461.0,33250.0,653931.0,0.0,732576.0,723122.0,667212.0,2207.0,4525.0,18757.0
2003-09-14,737234.0,22500.0,655592.0,0.0,719102.0,720463.0,664058.0,920.0,5039.0,19719.0
2003-09-21,743939.0,29250.0,655943.0,0.0,725918.0,720463.0,662927.0,920.0,7247.0,18972.0
2003-09-28,741193.0,26000.0,655993.0,0.0,722790.0,721232.0,663314.0,1981.0,6837.0,18801.0
2003-10-05,753155.0,36750.0,656186.0,0.0,734967.0,721232.0,664812.0,1981.0,4922.0,22090.0
2003-10-12,737108.0,19750.0,656270.0,0.0,719060.0,722346.0,667174.0,1405.0,4935.0,18951.0
2003-10-19,754229.0,30250.0,656489.0,0.0,736494.0,722346.0,670061.0,1405.0,4857.0,18642.0
2003-10-26,743578.0,25500.0,656754.0,0.0,725515.0,727073.0,669207.0,1458.0,5123.0,18111.0
2003-11-02,747272.0,28000.0,658672.0,0.0,729469.0,727073.0,669367.0,1458.0,5672.0,19286.0
2003-11-09,744116.0,19000.0,658875.0,0.0,726552.0,727171.0,670849.0,1699.0,4615.0,21001.0
2003-11-16,745604.0,24000.0,660279.0,0.0,727472.0,727171.0,674369.0,1699.0,4614.0,17386.0
2003-11-23,744521.0,22000.0,662703.0,0.0,726356.0,732024.0,673434.0,1518.0,5175.0,17902.0
2003-11-30,756964.0,33500.0,664515.0,0.0,738896.0,732024.0,679026.0,1518.0,5377.0,17955.0
2003-12-07,749981.0,23500.0,665232.0,0.0,731809.0,736179.0,679352.0,708.0,4374.0,18731.0
2003-12-14,756585.0,29250.0,665610.0,0.0,738424.0,736179.0,678524.0,708.0,5162.0,18964.0
2003-12-21,753919.0,25000.0,665953.0,0.0,735583.0,738953.0,681648.0,1318.0,7455.0,17657.0
2003-12-28,767012.0,36500.0,666216.0,0.0,748857.0,738953.0,688750.0,1318.0,4670.0,19764.0
2004-01-04,771551.0,43750.0,666665.0,0.0,753857.0,744930.0,689757.0,989.0,5723.0,25652.0
2004-01-11,755829.0,24000.0,666720.0,0.0,737549.0,744930.0,683391.0,989.0,4915.0,19587.0
2004-01-18,752812.0,24000.0,666798.0,0.0,734672.0,735027.0,677440.0,813.0,5398.0,20721.0
2004-01-25,775833.0,42000.0,666832.0,0.0,757941.0,735027.0,676625.0,813.0,7740.0,19735.0
2004-02-01,755279.0,23000.0,667060.0,0.0,737044.0,732470.0,676265.0,923.0,5247.0,20694.0
2004-02-08,754153.0,23250.0,667292.0,0.0,736137.0,732470.0,678300.0,923.0,5728.0,20426.0
2004-02-15,750999.0,18750.0,669851.0,0.0,732619.0,735083.0,680270.0,1373.0,5247.0,20059.0
2004-02-22,758759.0,23500.0,670786.0,0.0,740683.0,735083.0,682243.0,1373.0,5004.0,19951.0
2004-02-29,750666.0,20000.0,671527.0,0.0,732977.0,736571.0,680151.0,1058.0,5209.0,18872.0
2004-03-07,754867.0,23750.0,671632.0,0.0,737320.0,736571.0,680230.0,1058.0,4698.0,18886.0
2004-03-14,749950.0,18750.0,673039.0,0.0,731964.0,736621.0,680472.0,2018.0,4415.0,19191.0
2004-03-21,760638.0,28750.0,673153.0,0.0,742288.0,736621.0,681010.0,2018.0,6415.0,18770.0
2004-03-28,751510.0,19750.0,673995.0,0.0,733069.0,736984.0,680447.0,1756.0,4404.0,19987.0
2004-04-04,760725.0,27500.0,674084.0,0.0,742064.0,736984.0,681574.0,1756.0,5884.0,21701.0
2004-04-11,754083.0,19750.0,674294.0,0.0,735789.0,739667.0,683778.0,1952.0,4561.0,19072.0
2004-04-18,763734.0,29700.0,674717.0,0.0,745687.0,739667.0,684264.0,1952.0,4902.0,19470.0
2004-04-25,757984.0,22750.0,674937.0,0.0,739764.0,742511.0,682526.0,1692.0,5886.0,19260.0
2004-05-02,772927.0,37500.0,676383.0,0.0,754562.0,742511.0,683994.0,1692.0,6540.0,19689.0
2004-05-09,758838.0,20000.0,677811.0,0.0,739989.0,742861.0,685624.0,1572.0,5960.0,20653.0
2004-05-16,764835.0,27250.0,677835.0,0.0,746605.0,742861.0,686061.0,1572.0,4949.0,18711.0
2004-05-23,756874.0,21250.0,679618.0,0.0,738210.0,745135.0,686626.0,1774.0,4451.0,18273.0
2004-05-30,771108.0,33750.0,680633.0,0.0,752304.0,745135.0,689044.0,1774.0,4844.0,19331.0
2004-06-06,764090.0,22500.0,681483.0,0.0,745098.0,750001.0,693351.0,1700.0,1592.0,20292.0
2004-06-13,772187.0,30250.0,683932.0,0.0,753444.0,750001.0,691932.0,1700.0,5215.0,19942.0
2004-06-20,761834.0,19000.0,684993.0,0.0,743066.0,748515.0,690614.0,2031.0,7067.0,17971.0
2004-06-27,775261.0,32000.0,685177.0,0.0,756173.0,748515.0,693007.0,2031.0,7202.0,17465.0
2004-07-04,779578.0,33500.0,687391.0,0.0,760646.0,755958.0,698186.0,2027.0,6032.0,19228.0
2004-07-11,778163.0,28000.0,687893.0,0.0,758978.0,755958.0,703159.0,2027.0,2915.0,19828.0
2004-07-18,775536.0,25500.0,690309.0,0.0,756605.0,757930.0,701127.0,1492.0,5369.0,19835.0
2004-07-25,776764.0,25500.0,692299.0,0.0,757987.0,757930.0,699168.0,1492.0,4879.0,19906.0
2004-08-01,773916.0,21500.0,693717.0,0.0,755265.0,757370.0,699312.0,1828.0,4447.0,19363.0
2004-08-08,772085.0,17000.0,693734.0,0.0,753173.0,757370.0,700882.0,1828.0,5081.0,20576.0
2004-08-15,769265.0,16000.0,693746.0,0.0,750108.0,755406.0,701208.0,1398.0,4617.0,20606.0
2004-08-22,767595.0,16500.0,694760.0,0.0,748432.0,755406.0,700913.0,1398.0,4665.0,21374.0
2004-08-29,775437.0,24500.0,694840.0,0.0,755472.0,759035.0,700422.0,1705.0,3668.0,20922.0
2004-09-05,785273.0,32500.0,694858.0,0.0,764980.0,759035.0,703077.0,1705.0,6374.0,23203.0
2004-09-12,788602.0,33000.0,694869.0,0.0,768285.0,762939.0,707397.0,1717.0,3701.0,23882.0
2004-09-19,789128.0,35500.0,695703.0,0.0,768899.0,762939.0,704417.0,1717.0,7626.0,24323.0
2004-09-26,782124.0,26500.0,698161.0,0.0,761658.0,761759.0,702759.0,1583.0,4845.0,24556.0
2004-10-03,786330.0,29500.0,698617.0,0.0,765913.0,761759.0,703451.0,1583.0,5436.0,24337.0
2004-10-10,781777.0,21000.0,701586.0,0.0,761411.0,762192.0,705595.0,1736.0,5576.0,24736.0
2004-10-17,795483.0,30250.0,701617.0,0.0,774909.0,762192.0,708146.0,1736.0,5466.0,24985.0
2004-10-24,784954.0,21250.0,702813.0,0.0,763986.0,764584.0,706719.0,1722.0,4785.0,25843.0
2004-10-31,791336.0,23750.0,706730.0,0.0,770577.0,764584.0,707151.0,1722.0,4582.0,25761.0
2004-11-07,790552.0,20250.0,708130.0,0.0,769875.0,766874.0,709612.0,1935.0,4971.0,26512.0
2004-11-14,800473.0,29500.0,708909.0,0.0,779589.0,766874.0,714224.0,1935.0,4565.0,27467.0
2004-11-21,794090.0,24000.0,710134.0,0.0,772109.0,771109.0,713536.0,1679.0,4851.0,27729.0
2004-11-28,809956.0,39000.0,711595.0,0.0,787773.0,771109.0,718896.0,1679.0,4575.0,28084.0
2004-12-05,807063.0,33750.0,712891.0,0.0,784857.0,775087.0,718227.0,1782.0,5264.0,27539.0
2004-12-12,808495.0,30500.0,717072.0,0.0,786266.0,775087.0,717167.0,1782.0,4831.0,28171.0
2004-12-19,807028.0,28750.0,717661.0,0.0,784196.0,774201.0,717511.0,1848.0,5019.0,27846.0
2004-12-26,811333.0,32000.0,717682.0,0.0,788366.0,774201.0,721917.0,1848.0,4047.0,28056.0
2005-01-02,810944.0,33000.0,717813.0,0.0,787612.0,780571.0,722904.0,2114.0,5734.0,29938.0
2005-01-09,815702.0,34500.0,717821.0,0.0,792928.0,780571.0,718481.0,2114.0,4791.0,28647.0
2005-01-16,798455.0,18250.0,717823.0,0.0,775062.0,773586.0,713851.0,1785.0,4951.0,27231.0
2005-01-23,806960.0,22500.0,717825.0,0.0,783768.0,773586.0,713464.0,1785.0,5142.0,27594.0
2005-01-30,807262.0,28750.0,717828.0,0.0,783828.0,774902.0,711992.0,1529.0,5117.0,31074.0
2005-02-06,804746.0,24250.0,717898.0,0.0,781030.0,774902.0,714249.0,1529.0,5097.0,27872.0
2005-02-13,797299.0,14500.0,717879.0,0.0,773753.0,770725.0,716961.0,1426.0,4747.0,28355.0
2005-02-20,795606.0,18500.0,717859.0,0.0,771565.0,770725.0,717365.0,1426.0,5010.0,23346.0
2005-02-27,804576.0,25250.0,717839.0,0.0,780286.0,775062.0,718371.0,1558.0,4487.0,23474.0
2005-03-06,801252.0,24250.0,717495.0,0.0,777039.0,775062.0,717152.0,1558.0,4906.0,25375.0
2005-03-13,799250.0,22000.0,717505.0,0.0,774523.0,772512.0,717406.0,1803.0,4599.0,25430.0
2005-03-20,807211.0,30250.0,717515.0,0.0,782462.0,772512.0,717783.0,1803.0,4746.0,24939.0
2005-03-27,797094.0,19250.0,717526.0,0.0,772794.0,774133.0,717572.0,1791.0,4677.0,24491.0
2005-04-03,807551.0,31750.0,717536.0,0.0,783102.0,774133.0,719688.0,1791.0,5198.0,23691.0
2005-04-10,797327.0,20000.0,717351.0,0.0,772820.0,774750.0,720324.0,1786.0,4530.0,22986.0
2005-04-17,805707.0,28250.0,717380.0,0.0,780640.0,774750.0,719483.0,1786.0,4926.0,22758.0
2005-04-24,801793.0,23750.0,717409.0,0.0,776528.0,776501.0,718534.0,1612.0,4102.0,25100.0
2005-05-01,809797.0,30750.0,718638.0,0.0,784609.0,776501.0,718816.0,1612.0,6356.0,25068.0
2005-05-08,802412.0,21500.0,719372.0,0.0,777061.0,774449.0,719737.0,1379.0,4618.0,26060.0
2005-05-15,808378.0,26000.0,721565.0,0.0,783085.0,774449.0,720324.0,1379.0,4998.0,25308.0
2005-05-22,801546.0,23750.0,721629.0,0.0,776115.0,775610.0,719274.0,1537.0,5080.0,26179.0
2005-05-29,810160.0,31000.0,722992.0,0.0,784545.0,775610.0,721744.0,1537.0,5518.0,25186.0
2005-06-05,817335.0,31500.0,725426.0,0.0,792040.0,781595.0,726465.0,1763.0,4039.0,24732.0
2005-06-12,814172.0,30500.0,725460.0,0.0,788280.0,781595.0,725701.0,1763.0,4626.0,23956.0
2005-06-19,811198.0,29000.0,725495.0,0.0,785728.0,778943.0,724579.0,1619.0,9849.0,23147.0
2005-06-26,810429.0,26250.0,725987.0,0.0,784555.0,778943.0,724328.0,1619.0,5099.0,23362.0
2005-07-03,810082.0,26000.0,726022.0,0.0,784310.0,782767.0,727640.0,1926.0,4173.0,24237.0
2005-07-10,821556.0,34000.0,724717.0,0.0,795987.0,782767.0,732517.0,1926.0,4544.0,24464.0
2005-07-17,808861.0,25250.0,724712.0,0.0,782498.0,782567.0,729691.0,1486.0,4790.0,25597.0
2005-07-24,816804.0,33750.0,724707.0,0.0,790488.0,782567.0,726814.0,1486.0,4660.0,28196.0
2005-07-31,814259.0,31000.0,724702.0,0.0,787656.0,783283.0,727258.0,2108.0,4417.0,27277.0
2005-08-07,818841.0,32000.0,724700.0,0.0,791800.0,783283.0,729601.0,2108.0,4813.0,22575.0
2005-08-14,808544.0,24500.0,724703.0,0.0,781561.0,781969.0,730022.0,1329.0,5679.0,23640.0
2005-08-21,813774.0,28500.0,727339.0,0.0,786685.0,781969.0,729141.0,1329.0,5669.0,23503.0
2005-08-28,811313.0,26000.0,729579.0,0.0,784273.0,783366.0,727930.0,1805.0,4603.0,24114.0
2005-09-04,823237.0,35500.0,730380.0,0.0,796051.0,783366.0,730211.0,1805.0,5650.0,26487.0
2005-09-11,822500.0,31500.0,730418.0,0.0,795129.0,787682.0,735201.0,1748.0,4445.0,25154.0
2005-09-18,823590.0,32000.0,733268.0,0.0,796534.0,787682.0,733504.0,1748.0,5319.0,25960.0
2005-09-25,812926.0,20250.0,733388.0,0.0,785892.0,788255.0,731894.0,2200.0,5718.0,23991.0
2005-10-02,823771.0,30250.0,736082.0,0.0,796881.0,788255.0,732570.0,2200.0,4479.0,23811.0
2005-10-09,817137.0,18750.0,737592.0,0.0,789958.0,787596.0,733832.0,2288.0,4786.0,25938.0
2005-10-16,826306.0,20250.0,737672.0,0.0,798959.0,787596.0,736051.0,2288.0,5265.0,26281.0
2005-10-23,814281.0,16250.0,738015.0,0.0,787033.0,786721.0,733671.0,1699.0,4469.0,25082.0
2005-10-30,819105.0,21750.0,739542.0,0.0,791627.0,786721.0,733631.0,1699.0,4727.0,23654.0
2005-11-06,814571.0,14500.0,740614.0,0.0,787164.0,787692.0,734523.0,1433.0,4499.0,24939.0
2005-11-13,824991.0,24500.0,741717.0,0.0,797743.0,787692.0,739610.0,1433.0,5388.0,25021.0
2005-11-20,823263.0,20000.0,742878.0,0.0,795861.0,794976.0,741291.0,2097.0,4416.0,25318.0
2005-11-27,833124.0,32500.0,744301.0,0.0,805221.0,794976.0,745582.0,2097.0,4162.0,24487.0
2005-12-04,835059.0,35250.0,744168.0,0.0,807425.0,797895.0,744567.0,1598.0,4634.0,30055.0
2005-12-11,833250.0,32000.0,744179.0,0.0,805651.0,797895.0,743496.0,1598.0,5076.0,27792.0
2005-12-18,830950.0,28250.0,744189.0,0.0,802541.0,799406.0,746571.0,1806.0,4990.0,26575.0
2005-12-25,848317.0,45000.0,744200.0,0.0,820536.0,799406.0,752969.0,1806.0,5290.0,26762.0
2006-01-01,847700.0,45250.0,744210.0,0.0,819686.0,811991.0,759246.0,2244.0,4243.0,30372.0
2006-01-08,851856.0,46500.0,742870.0,0.0,824805.0,811991.0,756534.0,2244.0,3922.0,27567.0
2006-01-15,829357.0,25000.0,744479.0,0.0,802118.0,804049.0,749419.0,1449.0,4465.0,25020.0
2006-01-22,836042.0,23250.0,745685.0,0.0,809085.0,804049.0,749172.0,1449.0,5429.0,24729.0
2006-01-29,828901.0,25000.0,746588.0,0.0,801666.0,801900.0,746453.0,1507.0,5266.0,21691.0
2006-02-05,831808.0,23000.0,748840.0,0.0,804963.0,801900.0,748178.0,1507.0,5095.0,23180.0
2006-02-12,827613.0,19500.0,748828.0,0.0,800665.0,802595.0,751007.0,1477.0,3973.0,22678.0
2006-02-19,835240.0,29750.0,751327.0,0.0,807906.0,802595.0,752258.0,1477.0,5125.0,22695.0
2006-02-26,840555.0,29000.0,752549.0,0.0,813142.0,807517.0,753325.0,1630.0,4334.0,24510.0
2006-03-05,839356.0,27750.0,754682.0,0.0,811710.0,807517.0,753028.0,1630.0,5427.0,24672.0
2006-03-12,839234.0,26500.0,755576.0,0.0,811584.0,810684.0,753788.0,1726.0,4851.0,23810.0
2006-03-19,843010.0,29750.0,757213.0,0.0,815075.0,810684.0,753886.0,1726.0,2844.0,24293.0
2006-03-26,838003.0,25750.0,757257.0,0.0,810040.0,810133.0,752905.0,1189.0,4414.0,24151.0
2006-04-02,833675.0,19500.0,758529.0,0.0,805841.0,810133.0,753127.0,1189.0,4619.0,22419.0
2006-04-09,834589.0,19250.0,758551.0,0.0,806406.0,807796.0,754567.0,2125.0,4663.0,23523.0
2006-04-16,836862.0,18750.0,758563.0,0.0,808949.0,807796.0,755634.0,2125.0,4334.0,24016.0
2006-04-23,836352.0,21250.0,758575.0,0.0,807982.0,809782.0,755276.0,1467.0,5245.0,24729.0
2006-04-30,844572.0,26750.0,759683.0,0.0,816034.0,809782.0,755158.0,1467.0,5610.0,22910.0
2006-05-07,843867.0,25750.0,759704.0,0.0,815349.0,811309.0,757215.0,2177.0,5215.0,24478.0
2006-05-14,838405.0,20500.0,759737.0,0.0,809663.0,811309.0,758466.0,2177.0,4931.0,24535.0
2006-05-21,838153.0,21500.0,759651.0,0.0,809844.0,811888.0,757969.0,1422.0,5055.0,22569.0
2006-05-28,840251.0,22500.0,762378.0,0.0,811993.0,811888.0,759280.0,1422.0,5188.0,22803.0
2006-06-04,851580.0,30750.0,762411.0,0.0,821961.0,815697.0,762030.0,2005.0,2637.0,24603.0
2006-06-11,849074.0,26750.0,764877.0,0.0,819590.0,815697.0,759914.0,2005.0,5552.0,23769.0
2006-06-18,845869.0,24250.0,766245.0,0.0,816441.0,810627.0,758103.0,1632.0,4468.0,26002.0
2006-06-25,844773.0,22250.0,766297.0,0.0,815064.0,810627.0,756935.0,1632.0,5385.0,25677.0
2006-07-02,844436.0,22500.0,766349.0,0.0,814974.0,812482.0,758321.0,1840.0,4879.0,30400.0
2006-07-09,851659.0,28250.0,766385.0,0.0,821756.0,812482.0,763532.0,1840.0,5528.0,29086.0
2006-07-16,844391.0,20750.0,766414.0,0.0,814615.0,812034.0,760652.0,1464.0,5024.0,28538.0
2006-07-23,849894.0,29000.0,764731.0,0.0,820342.0,812034.0,757441.0,1464.0,5272.0,29587.0
2006-07-30,841552.0,21000.0,764763.0,0.0,811667.0,810482.0,756639.0,1538.0,4824.0,28468.0
2006-08-06,850263.0,27750.0,764815.0,0.0,820125.0,810482.0,757416.0,1538.0,5471.0,28798.0
2006-08-13,840006.0,17500.0,764828.0,0.0,810011.0,809022.0,758723.0,1583.0,2907.0,27860.0
2006-08-20,842876.0,25250.0,764842.0,0.0,812906.0,809022.0,758327.0,1583.0,4443.0,27509.0
2006-08-27,837987.0,19750.0,764855.0,0.0,808028.0,810097.0,756769.0,1418.0,4943.0,26553.0
2006-09-03,850925.0,30250.0,766738.0,0.0,820832.0,810097.0,760006.0,1418.0,4919.0,26084.0
2006-09-10,848594.0,19750.0,766757.0,0.0,818479.0,812507.0,762197.0,2027.0,4373.0,26878.0
2006-09-17,840886.0,16000.0,768874.0,0.0,810803.0,812507.0,758542.0,2027.0,4690.0,26923.0
2006-09-24,838192.0,15000.0,768895.0,0.0,807971.0,808658.0,755670.0,1414.0,5216.0,28499.0
2006-10-01,849971.0,27500.0,768915.0,0.0,819789.0,808658.0,755142.0,1414.0,4585.0,31466.0
2006-10-08,842296.0,18250.0,768932.0,0.0,812076.0,809411.0,757093.0,2214.0,6222.0,29212.0
2006-10-15,859339.0,28250.0,768945.0,0.0,829219.0,809411.0,759361.0,2214.0,4103.0,30614.0
2006-10-22,844200.0,22750.0,766651.0,0.0,813821.0,809469.0,758745.0,1299.0,5540.0,32895.0
2006-10-29,852648.0,30000.0,768422.0,0.0,822149.0,809469.0,758469.0,1299.0,5346.0,31151.0
2006-11-05,855536.0,25000.0,769918.0,0.0,824836.0,811489.0,760089.0,1657.0,5007.0,31186.0
2006-11-12,858630.0,31500.0,770425.0,0.0,828027.0,811489.0,763183.0,1657.0,4624.0,31487.0
2006-11-19,855551.0,35250.0,770050.0,0.0,826873.0,816165.0,764955.0,1400.0,4820.0,32764.0
2006-11-26,865126.0,43000.0,771873.0,0.0,835662.0,816165.0,770633.0,1400.0,4128.0,29335.0
2006-12-03,856671.0,33000.0,772610.0,0.0,826909.0,823169.0,771067.0,2228.0,4807.0,30723.0
2006-12-10,862178.0,32000.0,774215.0,0.0,831992.0,823169.0,769657.0,2228.0,4523.0,29039.0
2006-12-17,853851.0,21250.0,775603.0,0.0,823744.0,821930.0,771295.0,1441.0,4500.0,28302.0
2006-12-24,865010.0,33500.0,777638.0,0.0,834565.0,821930.0,775909.0,1441.0,5436.0,29903.0
2006-12-31,869988.0,36000.0,778938.0,0.0,839257.0,834786.0,782733.0,2201.0,4470.0,32126.0
2007-01-07,874626.0,39750.0,778910.0,0.0,844022.0,834786.0,781347.0,2201.0,6156.0,29742.0
2007-01-14,854819.0,21500.0,778898.0,0.0,823991.0,824798.0,772946.0,1644.0,4999.0,28921.0
2007-01-21,859363.0,19750.0,778887.0,0.0,828390.0,824798.0,769658.0,1644.0,5533.0,31055.0
2007-01-28,851755.0,19000.0,778875.0,0.0,820203.0,818628.0,765838.0,1306.0,5412.0,29419.0
2007-02-04,865730.0,32000.0,778863.0,0.0,834571.0,818628.0,765586.0,1306.0,6053.0,32379.0
2007-02-11,855057.0,19750.0,778876.0,0.0,823875.0,817343.0,767917.0,1281.0,5255.0,33630.0
2007-02-18,867199.0,30000.0,778889.0,0.0,835881.0,817343.0,769955.0,1281.0,5102.0,37336.0
2007-02-25,869235.0,34000.0,778902.0,0.0,837488.0,822746.0,771238.0,1624.0,5304.0,38144.0
2007-03-04,877409.0,45250.0,780793.0,0.0,844960.0,822746.0,770958.0,1624.0,5194.0,39645.0
2007-03-11,864505.0,31250.0,780818.0,0.0,831999.0,821244.0,770855.0,1570.0,4449.0,37788.0
2007-03-18,876108.0,43000.0,780842.0,0.0,843542.0,821244.0,770745.0,1570.0,5113.0,39727.0
2007-03-25,863067.0,29750.0,780866.0,0.0,830609.0,820304.0,770052.0,1608.0,4721.0,38497.0
2007-04-01,869803.0,36000.0,780890.0,0.0,837188.0,820304.0,770238.0,1608.0,4772.0,37643.0
2007-04-08,862319.0,28000.0,780926.0,0.0,829931.0,822222.0,771780.0,1890.0,4973.0,35475.0
2007-04-15,865441.0,28750.0,782816.0,0.0,832832.0,822222.0,773017.0,1890.0,4758.0,34134.0
2007-04-22,861335.0,24000.0,782860.0,0.0,828558.0,823000.0,771894.0,1346.0,5235.0,33971.0
2007-04-29,879686.0,38000.0,787149.0,0.0,847032.0,823000.0,771431.0,1346.0,12250.0,34025.0
2007-05-06,890857.0,48000.0,787210.0,0.0,858432.0,824583.0,772163.0,1599.0,25350.0,41421.0
2007-05-13,875270.0,29000.0,790025.0,0.0,842631.0,824583.0,773279.0,1599.0,4726.0,35410.0
2007-05-20,859559.0,18000.0,790103.0,0.0,826884.0,824256.0,772923.0,1219.0,4125.0,32446.0
2007-05-27,873935.0,31250.0,790182.0,0.0,841106.0,824256.0,774106.0,1219.0,4312.0,32618.0
2007-06-03,876986.0,31000.0,790260.0,0.0,844065.0,829476.0,777855.0,1710.0,4637.0,34860.0
2007-06-10,872706.0,28500.0,790322.0,0.0,839573.0,829476.0,776210.0,1710.0,5396.0,32069.0
2007-06-17,864989.0,22000.0,790380.0,0.0,832199.0,825686.0,774970.0,1534.0,4742.0,31579.0
2007-06-24,866089.0,21000.0,790439.0,0.0,832979.0,825686.0,773636.0,1534.0,6022.0,30443.0
2007-07-01,865105.0,20000.0,790497.0,0.0,831961.0,827830.0,775052.0,2088.0,4039.0,30134.0
2007-07-08,876611.0,30250.0,790553.0,0.0,842523.0,827830.0,781376.0,2088.0,4117.0,32209.0
2007-07-15,869407.0,20500.0,790606.0,0.0,836216.0,829789.0,779891.0,1473.0,4914.0,31296.0
2007-07-22,872916.0,27250.0,790660.0,0.0,839741.0,829789.0,776944.0,1473.0,4100.0,32507.0
2007-07-29,863890.0,18750.0,790714.0,0.0,830805.0,828362.0,776483.0,1666.0,4931.0,31109.0
2007-08-05,870261.0,24750.0,790802.0,0.0,836623.0,828362.0,776953.0,1666.0,4769.0,31546.0
2007-08-12,865453.0,18750.0,790820.0,0.0,831775.0,834129.0,777350.0,9220.0,4670.0,30132.0
2007-08-19,864931.0,24000.0,789601.0,0.0,831217.0,834129.0,775789.0,9220.0,5109.0,31941.0
2007-08-26,862775.0,19000.0,789619.0,0.0,828506.0,825399.0,774540.0,1155.0,5329.0,29956.0
