DATE,Currency in Circulation,M1,M2,Gross Domestic Private Investment,NGDP,10 Year U.S. Treasury Rate
1990-03-31,256.23407692307694,797.7076923076924,3176.776923076923,1010.838,5872.701,8.423870967741935
1990-06-30,262.428,805.9076923076923,3203.9076923076927,1014.72,5960.028,8.674126984126984
1990-09-30,270.5983076923077,814.8153846153847,3238.0384615384614,1000.785,6015.116,8.701269841269841
1990-12-31,277.8989230769231,822.2785714285714,3264.414285714286,947.453,6004.733,8.405967741935482
1991-03-31,285.08369230769233,831.9166666666666,3302.758333333333,924.569,6035.178,8.022833333333333
1991-06-30,288.857,848.3461538461538,3340.6769230769232,926.541,6126.862,8.12546875
1991-09-30,293.95084615384616,865.9642857142857,3355.585714285714,947.476,6205.937,7.95
1991-12-31,298.96792307692306,887.376923076923,3365.9692307692308,978.788,6264.54,7.345
1992-03-31,302.88523076923076,923.6384615384615,3394.5307692307692,956.817,6363.102,7.3069354838709675
1992-06-30,307.45184615384613,949.3692307692307,3397.361538461538,1013.084,6470.763,7.376031746031746
1992-09-30,315.6527142857143,974.2,3400.507692307692,1024.162,6566.641,6.61875
1992-12-31,324.98823076923077,1013.9692307692308,3424.8923076923074,1057.962,6680.803,6.740322580645161
1993-03-31,330.55830769230766,1033.5846153846155,3414.2384615384613,1083.829,6729.459,6.258196721311475
1993-06-30,338.83815384615383,1062.0307692307692,3429.730769230769,1094.479,6808.939,5.988095238095238
1993-09-30,348.5443846153846,1093.4461538461537,3446.123076923077,1095.852,6882.098,5.6153125
1993-12-31,357.2374615384615,1121.5153846153846,3466.584615384615,1153.142,7013.738,5.615967741935484
1994-03-31,364.46476923076926,1135.3461538461538,3476.4615384615386,1201.675,7115.652,6.090322580645162
1994-06-30,374.4316923076923,1143.2384615384615,3483.9692307692308,1264.948,7246.931,7.089516129032258
1994-09-30,384.68323076923076,1150.9307692307693,3486.6692307692306,1251.749,7331.075,7.32796875
1994-12-31,393.3709230769231,1150.7153846153847,3486.023076923077,1307.566,7455.288,7.837213114754098
1995-03-31,399.02392307692304,1148.6923076923076,3490.8307692307694,1327.586,7522.289,7.4712903225806455
1995-06-30,407.33653846153845,1146.2692307692307,3521.146153846154,1303.988,7580.997,6.60015873015873
1995-09-30,410.8053076923077,1144.7076923076925,3583.492307692308,1303.248,7683.125,6.329206349206349
1995-12-31,414.4845384615385,1133.1076923076923,3618.992307692308,1335.135,7772.586,5.898548387096774
1996-03-31,415.9043076923077,1121.6846153846154,3661.769230769231,1355.353,7868.468,5.910483870967742
1996-06-30,420.21799999999996,1119.4,3707.5615384615385,1418.388,8032.84,6.7140625
1996-09-30,429.61253846153846,1104.4071428571428,3743.8642857142854,1474.35,8131.408,6.7759375
1996-12-31,436.87607692307694,1083.5846153846155,3795.0923076923073,1480.128,8259.771,6.354193548387096
1997-03-31,443.0293846153846,1077.4846153846154,3847.223076923077,1522.404,8362.655,6.566999999999999
1997-06-30,448.36838461538457,1064.5846153846153,3890.730769230769,1590.218,8518.825,6.6996875000000005
1997-09-30,456.79376923076927,1069.2230769230769,3950.846153846154,1625.251,8662.823,6.2421875
1997-12-31,467.0702142857143,1069.3153846153846,4012.1076923076926,1644.529,8765.907,5.906290322580645
1998-03-31,473.17,1076.3538461538462,4085.1692307692306,1712.324,8866.48,5.590983606557377
1998-06-30,478.3531538461539,1077.2076923076925,4162.084615384615,1695.773,8969.699,5.593015873015873
1998-09-30,488.40042857142856,1076.7769230769231,4231.569230769231,1741.623,9121.097,5.20734375
1998-12-31,503.12892307692306,1091.3307692307692,4340.107692307693,1796.964,9293.991,4.661935483870968
1999-03-31,511.93630769230765,1097.746153846154,4418.253846153846,1853.063,9411.682,5.000819672131148
