DATE,Currency in Circulation,M1,M2,Gross Domestic Private Investment,NGDP,10 Year U.S. Treasury Rate
1999-06-30,523.8358461538462,1101.6307692307694,4483.007692307692,1848.341,9526.21,5.54125
1999-09-30,537.2774615384616,1097.8923076923077,4549.423076923077,1893.735,9686.626,5.88296875
1999-12-31,572.4313076923077,1110.7,4610.346153846154,1953.097,9900.169,6.14483870967742
2000-03-31,573.9857692307693,1114.3846153846155,4684.2692307692305,1950.65,10002.179,6.468412698412698
2000-06-30,566.2649230769231,1108.0615384615385,4762.130769230769,2075.786,10247.72,6.184920634920634
2000-09-30,570.3183846153846,1101.6769230769232,4815.346153846154,2059.969,10318.165,5.88984126984127
2000-12-31,576.4158461538461,1093.8461538461538,4885.753846153846,2067.227,10435.744,5.570645161290322
2001-03-31,584.304076923077,1100.7230769230769,5012.084615384615,1971.333,10470.231,5.0441935483870965
2001-06-30,591.0429230769231,1119.576923076923,5142.792307692308,1973.033,10599.0,5.276190476190476
2001-09-30,606.6494615384615,1162.2076923076925,5252.838461538461,1944.909,10598.02,4.995737704918033
2001-12-31,621.818,1173.185714285714,5381.342857142858,1850.091,10660.465,4.762096774193548
2002-03-31,636.8823846153846,1191.9666666666667,5475.675,1912.659,10783.5,5.079166666666667
2002-06-30,648.8368461538462,1189.2307692307693,5516.869230769231,1933.282,10887.46,5.10609375
2002-09-30,661.2143076923077,1194.0785714285714,5621.642857142857,1933.197,10984.04,4.27234375
2002-12-31,668.2194615384615,1211.246153846154,5740.376923076923,1942.531,11061.433,4.004838709677419
2003-03-31,680.7721538461539,1234.623076923077,5834.838461538461,1960.221,11174.129,3.92
2003-06-30,689.628923076923,1266.646153846154,5951.453846153846,1972.386,11312.766,3.6206349206349207
2003-09-30,695.4513076923078,1293.7384615384615,6072.2307692307695,2044.304,11566.669,4.22765625
2003-12-31,707.8362857142857,1300.8307692307692,6066.530769230769,2131.311,11772.234,4.285161290322581
2004-03-31,713.6633076923076,1318.2384615384615,6110.9,2154.052,11923.447,4.01
2004-06-30,721.3858461538462,1336.0461538461536,6241.453846153846,2262.607,12112.815,4.597096774193548
2004-09-30,736.0412307692308,1351.5615384615385,6310.707692307692,2318.272,12305.307,4.30140625
2004-12-31,747.4283076923076,1369.9615384615386,6395.515384615384,2390.082,12527.214,4.175806451612903
2005-03-31,750.981846153846,1366.8692307692306,6425.623076923077,2486.068,12767.286,4.303606557377049
2005-06-30,756.2582307692307,1367.6538461538462,6476.053846153846,2476.474,12922.656,4.15859375
2005-09-30,764.9143846153846,1374.1384615384616,6566.407692307693,2531.076,13142.642,4.21515625
2005-12-31,775.5150769230769,1376.5615384615385,6654.630769230769,2645.263,13324.204,4.488196721311475
2006-03-31,787.1831538461538,1379.246153846154,6741.376923076923,2709.74,13599.16,4.577096774193548
2006-06-30,793.1455384615384,1381.8692307692306,6813.0615384615385,2709.252,13753.424,5.072698412698412
2006-09-30,794.581,1371.0,6910.761538461539,2709.42,13870.188,4.893492063492064
2006-12-31,801.2746153846153,1369.4384615384615,7022.907692307693,2675.406,14039.56,4.630645161290323
2007-03-31,807.0043076923077,1366.253846153846,7125.569230769231,2664.295,14215.651,4.679032258064517
2007-06-30,809.3881538461538,1375.8769230769233,7246.261538461538,2699.217,14402.082,4.84609375
2007-09-30,812.6808461538462,1375.3384615384616,7358.723076923076,2685.969,14564.117,4.738412698412698
2007-12-31,817.6073076923077,1374.2285714285715,7441.507142857144,2642.56,14715.058,4.266612903225807
2008-03-31,816.2405384615384,1382.3153846153846,7583.961538461538,2563.701,14706.538,3.6652459016393446
2008-06-30,817.8259999999999,1396.4153846153847,7713.123076923077,2540.595,14865.701,3.8815625000000002
2008-09-30,831.3504615384616,1429.4461538461537,7806.607692307692,2498.242,14898.999,3.8621875
2008-12-31,863.666142857143,1527.253846153846,8052.207692307692,2307.915,14608.208,3.234677419354839
2009-03-31,893.6971666666667,1576.8769230769233,8314.146153846154,2014.878,14430.901,2.7362295081967214
2009-06-30,905.339923076923,1629.246153846154,8414.023076923077,1863.65,14381.236,3.320793650793651
2009-09-30,911.1244285714286,1662.3384615384616,8444.56153846154,1841.416,14448.882,3.5178125
2009-12-31,919.6774615384616,1683.2846153846153,8489.507692307692,1998.71,14651.248,3.4640322580645164
2010-03-31,927.4195384615384,1695.9692307692308,8487.476923076923,2038.161,14764.611,3.7178688524590164
2010-06-30,938.2250769230769,1712.7692307692307,8576.7,2148.795,14980.193,3.4925
2010-09-30,947.697,1744.4846153846154,8658.492307692308,2236.495,15141.605,2.78453125
2010-12-31,970.922153846154,1812.1999999999998,8771.06923076923,2238.44,15309.471,2.8783870967741936
2011-03-31,989.8056923076923,1870.7384615384615,8877.753846153846,2205.962,15351.444,3.4574193548387098
2011-06-30,1017.058076923077,1928.7153846153847,9043.484615384616,2297.352,15557.535,3.2014285714285715
2011-09-30,1033.7256153846154,2073.0384615384614,9451.084615384616,2322.84,15647.681,2.41421875
2011-12-31,1054.637923076923,2155.276923076923,9615.023076923077,2504.095,15842.267,2.0467213114754097
2012-03-31,1081.5702307692309,2210.992307692308,9777.538461538461,2567.75,16068.824,2.04
2012-06-30,1104.0334615384616,2258.4615384615386,9918.876923076923,2636.863,16207.13,1.82578125
2012-09-30,1118.4545384615385,2346.1846153846154,10117.584615384616,2644.119,16319.54,1.6412698412698414
2012-12-31,1145.844,2432.407142857143,10347.85,2638.282,16420.386,1.7070491803278687
2013-03-31,1165.8588461538461,2472.725,10498.116666666667,2738.236,16629.05,1.951
2013-06-30,1184.4296923076922,2524.5923076923073,10622.384615384615,2775.276,16699.551,1.98625
2013-09-30,1200.2620769230768,2558.171428571429,10785.907142857144,2879.995,16911.068,2.7065625
2013-12-31,1220.8958461538462,2637.153846153846,10982.976923076923,2910.546,17133.114,2.7441935483870967
2014-03-31,1242.6645384615383,2724.946153846154,11145.392307692307,2899.216,17144.281,2.7654098360655737
2014-06-30,1274.7640000000001,2800.7846153846153,11321.684615384615,3030.425,17462.703,2.620952380952381
2014-09-30,1287.479076923077,2835.4846153846156,11470.015384615386,3107.62,17743.227,2.49953125
2014-12-31,1310.1174285714285,2896.984615384615,11612.992307692308,3139.452,17852.54,2.2759677419354842
2015-03-31,1343.1558333333335,2980.2846153846153,11824.507692307692,3245.05,17991.348,1.9688524590163934
2015-06-30,1363.2724615384616,3001.923076923077,11963.915384615384,3245.825,18193.707,2.164375
2015-09-30,1376.3177142857144,3038.584615384615,12108.592307692308,3251.67,18306.96,2.223125
2015-12-31,1404.069153846154,3059.3230769230768,12269.515384615386,3206.098,18332.079,2.190483870967742
2016-03-31,1425.970230769231,3126.1923076923076,12530.946153846153,3174.386,18425.306,1.9142622950819672
2016-06-30,1451.544,3226.769230769231,12760.16153846154,3178.537,18611.617,1.75015625
2016-09-30,1465.9547692307692,3292.446153846154,12962.330769230768,3185.73,18775.459,1.564375
2016-12-31,1487.9508461538462,3342.9846153846156,13154.376923076923,3281.493,18968.041,2.138688524590164
2017-03-31,1513.2713846153845,3405.369230769231,13338.076923076924,3276.442,19148.194,2.4466129032258066
2017-06-30,1547.6573076923075,3498.076923076923,13522.415384615384,3353.022,19304.506,2.260952380952381
2017-09-30,1568.4609230769229,3570.1000000000004,13667.584615384616,3424.957,19561.896,2.2414285714285715
2017-12-31,1593.2221538461538,3613.138461538462,13803.646153846154,3488.077,19894.75,2.371451612903226
2018-03-31,1619.5366923076922,3638.7384615384613,13899.761538461538,3551.123,20155.486,2.7585245901639346
2018-06-30,1650.7141538461537,3658.6769230769232,14041.815384615385,3601.037,20470.197,2.920625
2018-09-30,1675.102,3691.6846153846154,14179.253846153846,3703.037,20687.278,2.9238095238095236
2018-12-31,1698.8182307692307,3723.207142857143,14268.199999999999,3714.345,20819.269,3.0411475409836064
2019-03-31,1712.0626923076923,3746.975,14455.300000000001,3778.82,21013.085,2.652950819672131
2019-06-30,1732.1393076923077,3799.6923076923076,14635.438461538462,3820.035,21272.448,2.338888888888889
2019-09-30,1752.4306153846155,3871.128571428572,14921.4,3849.409,21531.839,1.79796875
2019-12-31,1782.0666923076922,3952.876923076923,15224.576923076924,3780.303,21706.532,1.7919354838709676
2020-03-31,1806.396923076923,4072.623076923077,15591.284615384617,3737.555,21538.032,1.365
2020-06-30,1921.330153846154,12811.83846153846,17656.93076923077,3161.422,19636.731,0.6876190476190476
2020-09-30,2002.9045714285714,16942.69230769231,18408.576923076922,3743.278,21362.428,0.650625
2020-12-31,2056.613076923077,17554.19230769231,18893.66153846154,3929.446,21704.706,0.864516129032258
2021-03-31,2103.9546923076923,18055.18,19324.68,3902.314,22313.85,1.3359016393442622
2021-06-30,2168.0945384615384,,,3943.4,23046.934,1.59078125
2021-09-30,2189.920153846154,,,4109.122,23550.42,1.32484375
2021-12-31,2213.445846153846,,,4499.171,24349.121,1.5333870967741934
2022-03-31,2242.265307692308,,,4671.027,24740.48,1.9511290322580646
2022-06-30,2273.578769230769,,,4609.927,25248.476,2.9325806451612904
2022-09-30,2277.8552307692307,,,4579.069,25723.941,3.10109375
2022-12-31,2291.533,,,4669.813,26137.992,3.82672131147541
2023-03-31,2303.7804615384616,,,4569.227,26529.774,3.646290322580645
2023-06-30,2333.262923076923,,,4643.501,26834.953,3.5957142857142856
2023-09-30,2337.327285714286,,,,,3.9815625
