DATE,C,P,NGDP
2017-09-30,1568.4609230769229,107.91,19561.896
2017-12-31,1593.2221538461538,108.653,19894.75
2018-03-31,1619.5366923076922,109.32,20155.486
2018-06-30,1650.7141538461537,110.258,20470.197
2018-09-30,1675.102,110.629,20687.278
2018-12-31,1698.8182307692307,111.132,20819.269
2019-03-31,1712.0626923076923,111.562,21013.085
2019-06-30,1732.1393076923077,112.184,21272.448
2019-09-30,1752.4306153846155,112.55,21531.839
2019-12-31,1782.0666923076922,112.963,21706.532
2020-03-31,1806.396923076923,113.418,21538.032
2020-06-30,1921.330153846154,112.993,19636.731
2020-09-30,2002.9045714285714,113.971,21362.428
2020-12-31,2056.613076923077,114.692,21704.706
2021-03-31,2103.9546923076923,116.12,22313.85
2021-06-30,2168.0945384615384,117.922,23046.934
2021-09-30,2189.920153846154,119.712,23550.42
2021-12-31,2213.445846153846,121.708,24349.121
2022-03-31,2242.265307692308,124.174,24740.48
2022-06-30,2273.578769230769,126.907,25248.476
2022-09-30,2277.8552307692307,128.269,25723.941
2022-12-31,2291.533,129.508,26137.992
2023-03-31,2303.7804615384616,130.8,26529.774
2023-06-30,2333.262923076923,131.518,26834.953
2023-09-30,2337.327285714286,,
