DATE,Base: Total,Base: Currency in Circulation,Excess Reserves,30 Year Treasury Rate
2013-05-31,3092088.6,1184869.4,1838545.2,3.112727272727273
2013-06-30,3196118.0,1189693.5,1942912.5,3.4
2013-07-31,3285716.6,1196893.0,2025482.6,3.605
2013-08-31,3393606.0,1199423.0,2129602.25,3.757727272727273
2013-09-30,3480325.75,1205643.5,2208122.75,3.787
2013-10-31,3574685.6,1213150.2,2293907.4,3.6759090909090912
2013-11-30,3678354.5,1220845.0,2386864.5,3.8000000000000003
2013-12-31,3733308.5,1230286.0,2434735.0,3.889047619047619
2014-01-31,3713847.6,1232011.0,2406869.0,3.7690476190476194
2014-02-28,3825613.25,1237735.75,2511043.0,3.6626315789473685
2014-03-31,3888211.75,1261093.75,2548330.25,3.620952380952381
2014-04-30,3921269.6,1269981.4,2571121.6,3.5176190476190476
2014-05-31,3904794.5,1275948.5,2545590.0,3.3899999999999997
2014-06-30,3962577.5,1279375.5,2602295.0,3.4200000000000004
2014-07-31,3971675.0,1285138.4,2602222.8,3.3318181818181816
2014-08-31,4076328.75,1287770.25,2702421.5,3.2009523809523808
2014-09-30,4060787.5,1290215.0,2688205.5,3.26
2014-10-31,4009998.4,1293956.6,2630583.6,3.0399999999999996
2014-11-30,3843469.0,1309492.5,2447892.0,3.038333333333333
2014-12-31,3914456.6,1326660.4,2504551.0,2.833181818181818
2015-01-31,4018427.0,1333753.25,2594833.5,2.455
2015-02-28,3864925.25,1341359.5,2434645.5,2.566315789473684
2015-03-31,4000551.75,1354625.25,2554214.25,2.6263636363636365
2015-04-30,4059273.0,1359748.8,2606686.0,2.585909090909091
2015-05-31,3954727.0,1364570.0,2497338.5,2.955
2015-06-30,3928827.0,1366158.5,2474765.0,3.1118181818181814
2015-07-31,3945173.4,1370018.8,2484422.8,3.066363636363637
2015-08-31,3970474.0,1375164.0,2500296.5,2.855714285714286
2015-09-30,4032951.4,1383540.4,2555720.4,2.9528571428571433
2015-10-31,4061649.5,1391429.0,2580269.0,2.888095238095238
2015-11-30,4024563.0,1402991.5,2532965.5,3.03
2015-12-31,3855271.6,1415101.0,2350309.8,2.97
