DATE,Real Potential GDP,Potential GDP,Real GDP,Consumption,Investment,Federal Spending,Federal Debt,Nominal GDP,GDP Deflator,10 Year U.S. Treasury Rate,Federal Debt / GDP,Inflation,Real 10 Year U.S. Treasury Rate
1975-03-31,5825.750697939189,1695.876164587338,5957.035,985.19,244.306,354.024,509.659,1616.116,27.13,7.5441666666666665,0.315360407297496,,
1975-06-30,5871.953474831613,1734.785553720775,5999.61,1013.582,243.281,377.665,533.188,1651.853,27.533,8.051875,0.3227817487391432,,
1975-09-30,5918.017823888968,1779.2243630823016,6102.326,1047.192,265.192,379.106,553.647,1709.82,28.019,8.2915625,0.32380426009755414,,
1975-12-31,5964.052745212353,1823.042165018153,6184.53,1076.223,276.236,388.241,576.649,1761.831,28.488,8.06327868852459,0.32730097268126174,,
1976-03-31,6009.552465013313,1856.41156271643,6323.649,1109.908,304.638,393.991,600.49,1820.487,28.789,7.754032258064516,0.32985129803179036,6.115001842978263,1.6390304150862534
1976-06-30,6055.253356348844,1889.353287621488,6370.025,1129.54,322.303,395.709,620.432,1852.332,29.079,7.773015873015873,0.3349464350883103,5.615080085715318,2.1579357873005547
1976-09-30,6101.883261543399,1928.5676167642987,6404.895,1158.806,328.307,407.495,634.701,1886.558,29.455,7.7321875,0.33643333520623275,5.125093686427062,2.607093813572938
1976-12-31,6149.124217671401,1978.2867031870448,6451.177,1192.408,337.65,416.741,653.543,1934.273,29.983,7.178196721311475,0.337875263729577,5.247823645043526,1.9303730762679496
1977-03-31,6198.163575627065,2026.1150156971405,6527.703,1228.212,360.313,420.834,669.207,1988.648,30.465,7.356984126984127,0.3365135509149935,5.821667998193747,1.53531612879038
1977-06-30,6248.784101671982,2071.5086564373364,6654.466,1255.98,389.703,428.835,674.425,2055.909,30.895,7.366031746031746,0.328042243114846,6.245056570033358,1.120975175998388
1977-09-30,6300.478848241783,2114.097256715696,6774.457,1286.905,414.134,442.98,698.84,2118.473,31.271,7.358888888888889,0.3298791157593229,6.165336954676626,1.1935519342122634
1977-12-31,6353.6909666491965,2178.0086730631574,6774.592,1324.804,422.299,456.618,718.943,2164.27,31.947,7.597166666666666,0.33218729640941286,6.5503785478437715,1.046788118822895
