DATE,GDP Deflator,Monetary Base
1990-03-31,62.714,291455.1538461539
1990-06-30,63.416,298411.3076923077
1990-09-30,63.96,305592.0
1990-12-31,64.436,312139.3846153846
1991-03-31,65.067,309529.76923076925
1991-06-30,65.545,315071.0
1991-09-30,66.057,320663.3076923077
1991-12-31,66.449,327794.8461538461
1992-03-31,66.696,333617.46153846156
1992-06-30,67.097,334715.76923076925
1992-09-30,67.425,343010.5714285714
1992-12-31,67.889,355753.53846153844
1993-03-31,68.27,361085.07692307694
1993-06-30,68.676,371834.1538461539
1993-09-30,69.084,381472.76923076925
1993-12-31,69.461,392667.3846153846
1994-03-31,69.793,398863.6923076923
1994-06-30,70.13,408448.92307692306
1994-09-30,70.532,415626.76923076925
1994-12-31,70.915,422972.3846153846
1995-03-31,71.3,425829.46153846156
1995-06-30,71.642,434056.07692307694
1995-09-30,71.995,435895.92307692306
1995-12-31,72.342,439903.23076923075
1996-03-31,72.69,439728.76923076925
1996-06-30,72.991,444059.8461538461
1996-09-30,73.23,450755.53846153844
1996-12-31,73.621,457025.6923076923
1997-03-31,74.06,461941.6923076923
1997-06-30,74.21,467109.3076923077
1997-09-30,74.532,474046.6923076923
1997-12-31,74.777,484515.14285714284
1998-03-31,74.887,490146.6666666667
1998-06-30,75.063,495382.07692307694
1998-09-30,75.386,504862.9285714286
1998-12-31,75.593,518982.46153846156
1999-03-31,75.835,528526.6153846154
1999-06-30,76.122,539943.5384615385
1999-09-30,76.393,552219.0769230769
1999-12-31,76.815,585489.3846153846
2000-03-31,77.325,586921.7692307692
2000-06-30,77.807,580172.3846153846
2000-09-30,78.263,583884.6923076923
2000-12-31,78.688,590391.4615384615
2001-03-31,79.204,598207.7692307692
2001-06-30,79.683,605114.2307692308
2001-09-30,79.996,627777.2307692308
2001-12-31,80.245,640341.8461538461
2002-03-31,80.504,655815.3076923077
2002-06-30,80.783,667816.0769230769
2002-09-30,81.172,679846.6923076923
2002-12-31,81.638,688309.4615384615
2003-03-31,82.045,701790.3846153846
2003-06-30,82.328,712118.6923076923
2003-09-30,82.796,719690.0
2003-12-31,83.306,730975.2857142857
2004-03-31,83.895,736187.8461538461
2004-06-30,84.569,745641.3846153846
2004-09-30,85.112,758833.5384615385
2004-12-31,85.77,769897.3076923077
2005-03-31,86.453,774031.6153846154
2005-06-30,87.082,777420.2307692308
2005-09-30,87.874,784385.4615384615
2005-12-31,88.585,793889.4615384615
2006-03-31,89.209,806595.9230769231
2006-06-30,90.0,811283.0769230769
2006-09-30,90.628,810621.6923076923
2006-12-31,90.967,816773.2307692308
2007-03-31,91.839,821916.3076923077
2007-06-30,92.453,825098.1538461539
2007-09-30,92.933,828554.9230769231
2007-12-31,93.327,832821.9230769231
2008-03-31,93.655,831728.6923076923
2008-06-30,94.13,834420.7692307692
2008-09-30,94.84,858137.2307692308
2008-12-31,95.065,1388799.4285714286
2009-03-31,95.018,1636528.5
2009-06-30,94.852,1745137.8461538462
2009-09-30,94.954,1721201.9285714286
2009-12-31,95.267,1995859.3076923077
2010-03-31,95.526,2060328.3076923077
2010-06-30,95.992,2009766.6153846155
2010-09-30,96.282,1983702.076923077
2010-12-31,96.846,1982941.923076923
2011-03-31,97.346,2211323.923076923
2011-06-30,97.989,2568207.153846154
2011-09-30,98.595,2661370.3846153845
2011-12-31,98.714,2620543.3076923075
2012-03-31,99.313,2662996.6153846155
2012-06-30,99.713,2625364.769230769
2012-09-30,100.23,2634274.4615384615
2012-12-31,100.738,2638775.230769231
2013-03-31,101.141,2826782.153846154
2013-06-30,101.428,3097795.076923077
2013-09-30,101.906,3378793.076923077
2013-12-31,102.515,3655390.769230769
2014-03-31,102.942,3801887.5384615385
2014-06-30,103.525,3928910.4615384615
2014-09-30,103.977,4031295.3846153845
2014-12-31,104.15,3928296.5
2015-03-31,104.113,3961301.3333333335
2015-06-30,104.677,3986967.769230769
2015-09-30,104.989,3983751.4285714286
2015-12-31,104.979,3970862.153846154
2016-03-31,104.895,3851397.3846153845
2016-06-30,105.636,3846764.3846153845
2016-09-30,105.929,3780016.076923077
2016-12-31,106.487,3582059.5384615385
2017-03-31,107.038,3719277.5384615385
2017-06-30,107.371,3789587.6923076925
2017-09-30,107.91,3858169.230769231
2017-12-31,108.653,3865413.076923077
2018-03-31,109.32,3824687.3846153845
2018-06-30,110.258,3688996.6153846155
2018-09-30,110.629,3590916.153846154
2018-12-31,111.132,3474326.230769231
2019-03-31,111.562,3361417.0
2019-06-30,112.184,3273691.846153846
2019-09-30,112.55,3243847.846153846
2019-12-31,112.963,3320522.3846153845
2020-03-31,113.418,3524601.153846154
2020-06-30,112.993,4978058.769230769
2020-09-30,113.971,4776974.181818182
2020-12-31,114.692,
2021-03-31,116.12,
2021-06-30,117.922,
2021-09-30,119.712,
2021-12-31,121.708,
2022-03-31,124.174,
2022-06-30,126.907,
2022-09-30,128.269,
2022-12-31,129.508,
2023-03-31,130.8,
2023-06-30,131.518,
