,URL
U.S. Value of All Retail Inventories in 1929 Prices 1919-1938,https://data.nber.org/databases/macrohistory/rectdata/05/a05049.dat
U.S. Value of Retail Inventories Of Semi-Durable Commodities in 1929 Prices 1919-1934,https://data.nber.org/databases/macrohistory/rectdata/05/a05050.dat
U.S. Value of Retail Inventories Of Durable Commodities in 1929 Prices 1919-1934,https://data.nber.org/databases/macrohistory/rectdata/05/a05051.dat
U.S. Values of Retail Inventories Of Perishable Commodities in 1929 Prices 1919-1934,https://data.nber.org/databases/macrohistory/rectdata/05/a05052.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Total Manufacturers, Traders, Transportation, Public 1918-1937",https://data.nber.org/databases/macrohistory/rectdata/05/a05064.dat
"U.S. Net Changes in Inventories, In 1929 Prices 1919-1939",https://data.nber.org/databases/macrohistory/rectdata/05/a05064ca.dat
"U.S. Change in Business Inventories, Total, In 1954 Prices 1929-1958",https://data.nber.org/databases/macrohistory/rectdata/05/a05064cb.dat
"U.S. Net Changes in Inventories, In Current Prices 1919-1939",https://data.nber.org/databases/macrohistory/rectdata/05/a05064ga.dat
"U.S. Change in Business Inventories, Total, In Current Prices 1929-1958",https://data.nber.org/databases/macrohistory/rectdata/05/a05064gb.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Total, Excluding Farmers 1918-1937",https://data.nber.org/databases/macrohistory/rectdata/05/a05065.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Total Trade 1918-1938",https://data.nber.org/databases/macrohistory/rectdata/05/a05066.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Distributive Corporations 1918-1934",https://data.nber.org/databases/macrohistory/rectdata/05/a05067a.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Distributive Corporations 1934-1937",https://data.nber.org/databases/macrohistory/rectdata/05/a05067b.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Transportation and Other Public Utilities 1918-1934",https://data.nber.org/databases/macrohistory/rectdata/05/a05068a.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Transportation and Other Public Utilities 1934-1937",https://data.nber.org/databases/macrohistory/rectdata/05/a05068b.dat
U.S. NBER Series: 05069,https://data.nber.org/databases/macrohistory/rectdata/05/a05069.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Total Manufacturing 1918-1941",https://data.nber.org/databases/macrohistory/rectdata/05/a05070.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Foods, Beverages, and Tobacco Companies 1918-1941",https://data.nber.org/databases/macrohistory/rectdata/05/a05071.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Textiles and Textile Products Companies 1918-1941",https://data.nber.org/databases/macrohistory/rectdata/05/a05072.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Leather and Leather Products Companies 1918-1934",https://data.nber.org/databases/macrohistory/rectdata/05/a05073a.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Leather and Leather Products Companies 1934-1941",https://data.nber.org/databases/macrohistory/rectdata/05/a05073b.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Rubber and Related Products Companies 1918-1934",https://data.nber.org/databases/macrohistory/rectdata/05/a05074a.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Rubber and Related Products Companies 1934-1941",https://data.nber.org/databases/macrohistory/rectdata/05/a05074b.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Lumber and Wood Products Companies 1918-1941",https://data.nber.org/databases/macrohistory/rectdata/05/a05075.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Paper, Pulp and Printing And Publishing Companies 1918-1941",https://data.nber.org/databases/macrohistory/rectdata/05/a05076.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Chemicals and Allied Products Companies 1918-1941",https://data.nber.org/databases/macrohistory/rectdata/05/a05077.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Stone, Clay, and Glass And Related Products Companies 1918-1934",https://data.nber.org/databases/macrohistory/rectdata/05/a05078a.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Stone, Clay, and Glass And Related Products Companies 1934-1941",https://data.nber.org/databases/macrohistory/rectdata/05/a05078b.dat
"U.S. Inventory Holdings On December 31 in Current Valuation, Metal Products and Processes Companies 1918-1934",https://data.nber.org/databases/macrohistory/rectdata/05/a05079a.dat
