,URL
U.S. NBER Series: 14128 1914-1943,https://data.nber.org/databases/macrohistory/rectdata/14/a14128a.dat
U.S. 1920-1945,https://data.nber.org/databases/macrohistory/rectdata/14/a14128b.dat
U.S. NBER Series: 14129 1917-1943,https://data.nber.org/databases/macrohistory/rectdata/14/a14129.dat
U.S. NBER Series: 14130 1920-1945,https://data.nber.org/databases/macrohistory/rectdata/14/a14130.dat
U.S. Velocity of Money Stock 1869-1966,https://data.nber.org/databases/macrohistory/rectdata/14/a14187.dat
Germany Average Monthly Berlin Rates of Exchange On New York 03/1887-07/1914,https://data.nber.org/databases/macrohistory/rectdata/14/m14002.dat
U.S. Average Monthly New York Rates of Exchange On Paris 01/1876-07/1914,https://data.nber.org/databases/macrohistory/rectdata/14/m14004a.dat
"U.S. New York Rates of Exchange On Paris, Cable Transfer 11/1918-12/1939",https://data.nber.org/databases/macrohistory/rectdata/14/m14004b.dat
"U.S. National Banks, Circulation, Total SCATTERED COVERAGE FOR 1870-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14005.dat
U.S. Circulation SCATTERED COVERAGE FOR 1874-1914; SEE NOTES,https://data.nber.org/databases/macrohistory/rectdata/14/m14006.dat
"U.S. Circulation, Other Than Central Reserve Cities SCATTERED COVERAGE FOR 1882-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14007.dat
"U.S. Circulation, National Banks, Central Reserve Cities SCATTERED COVERAGE FOR 1882-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14008.dat
"U.S. Circulation, National Banks, New York City SCATTERED COVERAGE FOR 1870-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14009.dat
"U.S. Lawful Money Held, National Banks, Country Districts SCATTERED COVERAGE FOR 1874-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14011.dat
"U.S. Lawful Money Held, National Banks, Other Than Central Reserve Cities SCATTERED COVERAGE FOR 1882-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14012.dat
"U.S. Lawful Money Held, National Banks, Central Reserve Cities SCATTERED COVERAGE FOR 1882-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14013.dat
"U.S. Lawful Money Held, National Banks, New York City SCATTERED COVERAGE FOR 1874-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14014.dat
"U.S. Loans and Discounts, National Banks, Country Districts SCATTERED COVERAGE FOR 1874-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14016.dat
"U.S. Loans and Discounts Per Bank, National Banks, Country Districts SCATTERED COVERAGE FOR 1874-1915; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14017.dat
"U.S. Loans and Discounts, National Banks, Reserve Cities Other Than Central, SCATTERED COVERAGE FOR 1882-1914, SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14018.dat
"U.S. Loans and Discounts, National Banks, Central Reserve Cities SCATTERED COVERAGE FOR 1882-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14019.dat
"U.S. Loans and Discounts, National Banks, New York City SCATTERED COVERAGE FOR 1867-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14020.dat
"U.S. Individual Deposits, National Banks, Country Districts SCATTERED COVERAGE FOR 1874-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14022.dat
"U.S. Individual Deposits Per Bank, National Banks, Country Districts SCATTERED COVERAGE FOR 1874-1915; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14023.dat
"U.S. Individual Deposits, National Banks, Reserve Cities Other Than Central SCATTERED COVERAGE FOR 1882-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14024.dat
"U.S. Individual Deposits, National Banks, Central Reserve Cities SCATTERED COVERAGE FOR 1882-1915; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14025.dat
"U.S. Individual Deposits, National Banks, New York City SCATTERED COVERAGE FOR 1874-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14026.dat
"U.S. Bank Deposits, National Banks, Country Districts SCATTERED COVERAGE FOR 1874-1915; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14028.dat
"U.S. Bank Deposits, National Banks, Reserve Cities Other Than Central SCATTERED COVERAGE FROM 1882-1915; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14029.dat
"U.S. Bank Deposits, National Banks, Central Reserve Cities SCATTERED COVERAGE FROM 1882-1915; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14030.dat
"U.S. Bank Deposits, National Banks, New York City SCATTERED COVERAGE FROM 1874-1915; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14031.dat
"U.S. Due From Banks, National Banks SCATTERED COVERAGE FROM 1874-1914",https://data.nber.org/databases/macrohistory/rectdata/14/m14032.dat
"U.S. Due From National Banks, Country Districts SCATTERED COVERAGE FROM 1874-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14033.dat
"U.S. Due From National Banks, Reserve Cities Other Than Central SCATTERED COVERAGE FROM 1882-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14034.dat
"U.S. Due From National Banks, Central Reserve Cities SCATTERED COVERAGE FROM 1882-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14035.dat
"U.S. Due From Banks, New York City SCATTERED COVERAGE FOR 1874-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14036.dat
"U.S. Investments By National Banks, Country Districts SCATTERED COVERAGE FOR 1874-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14038.dat
"U.S. Investments By National Banks, Other Than Central SCATTERED COVERAGE FOR 1882-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14039.dat
U.S. Investments By National Banks SCATTERED COVERAGE FOR 1882-1914; SEE NOTES,https://data.nber.org/databases/macrohistory/rectdata/14/m14040.dat
"U.S. Investments, National Banks, New York City SCATTERED COVERAGE FOR 1874-1914; SEE NOTES",https://data.nber.org/databases/macrohistory/rectdata/14/m14041.dat
