,URL
"U.S. Revenue Per Freight Ton-Mile, All Railroads 1888-1935",https://data.nber.org/databases/macrohistory/rectdata/03/a03003b.dat
U.S. Railroad Revenue Freight Ton-Miles 1890-1916,https://data.nber.org/databases/macrohistory/rectdata/03/a03003ca.dat
U.S. Railroad Revenue Freight Ton-Miles 1916-1943,https://data.nber.org/databases/macrohistory/rectdata/03/a03003cb.dat
"U.S. Revenue Per Freight Ton-Mile, All Railroads 1882-1911",https://data.nber.org/databases/macrohistory/rectdata/03/a03003d.dat
"U.S. Revenue Tons of Freight Carried One Mile, All Railroads 1882-1911",https://data.nber.org/databases/macrohistory/rectdata/03/a03003e.dat
"U.S. Revenue Per Freight Ton-Mile, Thirteen Railroads 1865-1890",https://data.nber.org/databases/macrohistory/rectdata/03/a03003f.dat
"U.S. Freight Ton-Miles, Thirteen Railroads 1865-1890",https://data.nber.org/databases/macrohistory/rectdata/03/a03003g.dat
"U.S. Revenue Per Freight Ton-Mile, Seven Railroads",https://data.nber.org/databases/macrohistory/rectdata/03/m03003h.dat
"U.S. Tons of Freight Carries One Mile, Seven Railroads 1865-1891",https://data.nber.org/databases/macrohistory/rectdata/03/a03003i.dat
"U.S. Revenue Per Freight Ton-Mile, Six Railroads 1865-1890",https://data.nber.org/databases/macrohistory/rectdata/03/a03003j.dat
"U.S. Freight Ton-Miles, Six Railroads 1865-1890",https://data.nber.org/databases/macrohistory/rectdata/03/a03003k.dat
"Great Britain Tons of Freight Carried 1871-1913, 1919-1949",https://data.nber.org/databases/macrohistory/rectdata/03/a03005d.dat
"France Railroad Freight Traffic, Interet General 1851, 1853-1935",https://data.nber.org/databases/macrohistory/rectdata/03/a03007b.dat
"France Canal and River Freight Traffic 1847-1913, 1915-1937",https://data.nber.org/databases/macrohistory/rectdata/03/a03007c.dat
"U.S. Revenue Per Passenger-Mile, All Railroads 1888-1916",https://data.nber.org/databases/macrohistory/rectdata/03/a03010ca.dat
"U.S. Revenue Per Passenger-Mile, All Railroads 1916-1935",https://data.nber.org/databases/macrohistory/rectdata/03/a03010cb.dat
U.S. Railroad Passengers Carried One Mile 1889-1916,https://data.nber.org/databases/macrohistory/rectdata/03/a03010da.dat
U.S. Railroad Passengers Carried One Mile 1916-1935,https://data.nber.org/databases/macrohistory/rectdata/03/a03010db.dat
"U.S. Revenue Per Passenger-Mile, All Railroads 1882-1911",https://data.nber.org/databases/macrohistory/rectdata/03/a03010e.dat
"U.S. Railroad Passengers Carried One Mile, All Railroads 1882-1911",https://data.nber.org/databases/macrohistory/rectdata/03/a03010f.dat
"U.S. Revenue Passengers Carried, Pullman Company 1875-1916",https://data.nber.org/databases/macrohistory/rectdata/03/a03010ga.dat
"U.S. Revenue Passengers Carried, Pullman Company 1911-1937",https://data.nber.org/databases/macrohistory/rectdata/03/a03010gb.dat
U.S. Total Transit Passengers 1919-1933,https://data.nber.org/databases/macrohistory/rectdata/03/a03012a.dat
U.S. Total Revenue Passengers Carried By the Transit Industry 1917-1927,https://data.nber.org/databases/macrohistory/rectdata/03/a03012ba.dat
"U.S. Total Revenue Passengers, Street Railways and Buses 1926-1939",https://data.nber.org/databases/macrohistory/rectdata/03/a03012bb.dat
"U.S. Number of Messages Sent, Western Union Telegraph Company 1867-1912",https://data.nber.org/databases/macrohistory/rectdata/03/a03019a.dat
U.S. New York State Canal Traffic 1837-1942,https://data.nber.org/databases/macrohistory/rectdata/03/a03020.dat
U.S. Revenue and Non-Revenue Net Ton-Miles of Freight Hauled 04/1907-06/1914; 04/1916-07/1942; 10/1942-08/1943,https://data.nber.org/databases/macrohistory/rectdata/03/m03001.dat
"U.S. Freight Cars Loaded FIRST,1962 - THIRD,1966 01/1918-O7/1974",https://data.nber.org/databases/macrohistory/rectdata/03/m03002.dat
"U.S. Average Load Per Freight Car, Class I Steam Railroads 01/1918-08/1943",https://data.nber.org/databases/macrohistory/rectdata/03/m03002a.dat
"U.S. Railroad Freight Ton-Miles, Revenue, Seasonally Adjusted 08/1866-12/1922",https://data.nber.org/databases/macrohistory/rectdata/03/m03003.dat
"Great Britain Railway Freight Traffic, Total, Including Free Hauled 01/1931-04/1939",https://data.nber.org/databases/macrohistory/rectdata/03/m03003aa.dat
"U.S. Revenue Per Freight Ton-Mile, Class I Railroads 07/1907-06/1914; 04/1916-12/1925",https://data.nber.org/databases/macrohistory/rectdata/03/m03003ab.dat
"U.S. Revenue Per Freight Ton-Mile, Class I Railroads 01/1920-04/1956",https://data.nber.org/databases/macrohistory/rectdata/03/m03003ac.dat
"U.S. Eastbound Freight Shipments, Chicago 09/1887-06/1900",https://data.nber.org/databases/macrohistory/rectdata/03/m03004.dat
"Great Britain Freight Receipts, Selected Railways 03/1878-07/1914",https://data.nber.org/databases/macrohistory/rectdata/03/m03005.dat
"Great Britain Railway Freight Traffic, Total, Including Free Hauled 01/1920-12/1931",https://data.nber.org/databases/macrohistory/rectdata/03/m03005a.dat
"Great Britain Railway Freight Traffic, Other Than Coal 01/1920-12/1931",https://data.nber.org/databases/macrohistory/rectdata/03/m03005ba.dat
"Great Britain Railway Freight Traffic, Other Than Coal 01/1931-04/1939",https://data.nber.org/databases/macrohistory/rectdata/03/m03005bb.dat
"Germany Carloadings Per Working Day, Prussian-Hessian and Oldenburg Railroad 12/1904-12/1913",https://data.nber.org/databases/macrohistory/rectdata/03/m03006a.dat
Germany Carloadings Per Working Day 04/1909-06/1926,https://data.nber.org/databases/macrohistory/rectdata/03/m03006b.dat
"Germany Carloadings Per Working Day, Prussian-Hessian and Oldenburg Railroad 01-10/1924,12/1924-09/1935",https://data.nber.org/databases/macrohistory/rectdata/03/m03006c.dat
Germany Earnings of Prussian-Hessian Railways From Freight 04/1887-12/1913,https://data.nber.org/databases/macrohistory/rectdata/03/m03007a.dat
"France Freight Carloadings, Main Lines, Daily Average 01/1920-12/1929; 07/1930-07/1939",https://data.nber.org/databases/macrohistory/rectdata/03/m03007aa.dat
"Germany Freight Earnings of German Railroads, Reichsbahn 04/1919-10/1934",https://data.nber.org/databases/macrohistory/rectdata/03/m03007b.dat
U.S. Freight Car Shortage 05/1907-09/1914; 02-12/1915; 01/1918-12/1930,https://data.nber.org/databases/macrohistory/rectdata/03/m03008a.dat
U.S. Freight Car Shortage 01/1915-11/1917,https://data.nber.org/databases/macrohistory/rectdata/03/m03008b.dat
U.S. Freight Car Surplus 05/1907-09/1914; 01/1915-11/1917,https://data.nber.org/databases/macrohistory/rectdata/03/m03009a.dat
