,URL
U.S. Number of Concerns in Business 1866-1938,https://data.nber.org/databases/macrohistory/rectdata/10/a10030.dat
U.S. Net Savings of Life Insurance Policy Holders 1866-1894,https://data.nber.org/databases/macrohistory/rectdata/10/a10036a.dat
U.S. Net Savings of Life Insurance Policy Holders 1888-1944,https://data.nber.org/databases/macrohistory/rectdata/10/a10036b.dat
"U.S. Gross Capital Formation, Total, in Current Prices 1919-1943",https://data.nber.org/databases/macrohistory/rectdata/10/a10037.dat
"U.S. Gross Capital Formation, Total, in Constant Prices 1919-1943",https://data.nber.org/databases/macrohistory/rectdata/10/a10038.dat
"U.S. Net Capital Formation, Total, in Current Prices 1919-1939",https://data.nber.org/databases/macrohistory/rectdata/10/a10039.dat
"U.S. Net Capital Formation, Total, in Constant Prices 1919-1939",https://data.nber.org/databases/macrohistory/rectdata/10/a10040.dat
U.S. Savings of Individuals 1919-1938,https://data.nber.org/databases/macrohistory/rectdata/10/a10041.dat
"U.S. Marketable Securities Held, Year End, Large Manufacturing Corporations 1914-1943",https://data.nber.org/databases/macrohistory/rectdata/10/a10042a.dat
"U.S. Marketable Securities Held, Year End, Large Manufacturing Corporations Including Rubber Companies 1920-1945",https://data.nber.org/databases/macrohistory/rectdata/10/a10042b.dat
"U.S. Investments Held, Year End, Medium-Sized and Small Manufacturing Corporations 1916-1942",https://data.nber.org/databases/macrohistory/rectdata/10/a10043.dat
U.S. Capital Consumption in Constant Prices 1919-1943,https://data.nber.org/databases/macrohistory/rectdata/10/a10052.dat
"U.S. Marketable Securities Held, Year End, Large Corporations 1920-1945",https://data.nber.org/databases/macrohistory/rectdata/10/a10053.dat
U.S. Capital Consumption in Current Prices 1919-1943,https://data.nber.org/databases/macrohistory/rectdata/10/a10054.dat
U.S. Savings of Entrepreneurs 1919-1938,https://data.nber.org/databases/macrohistory/rectdata/10/a10055.dat
U.S. Savings of Government 1919-1938,https://data.nber.org/databases/macrohistory/rectdata/10/a10057.dat
U.S. Savings of Corporations With Net Income 1923-1942,https://data.nber.org/databases/macrohistory/rectdata/10/a10058.dat
U.S. Dissavings of Corporations With No Net Income 1923-1942,https://data.nber.org/databases/macrohistory/rectdata/10/a10059.dat
