,URL
U.S. Index of Crop Production 1862-1930,https://www.nber.org/databases/macrohistory/rectdata/01/a01005a.dat
"U.S. Index of Crop Producton, Twelve Important Crops 1866-1940",https://www.nber.org/databases/macrohistory/rectdata/01/a01005aa.dat
U.S. Index of Total Crop Production 1866-1950,https://www.nber.org/databases/macrohistory/rectdata/01/a01005b.dat
Great Britain Index of Crop Production 1866-1947,https://www.nber.org/databases/macrohistory/rectdata/01/a01006.dat
U.S. Index of Manufacturing Production 1863-1930,https://www.nber.org/databases/macrohistory/rectdata/01/a01007a.dat
U.S. Index of Manufacturing Production 1920-1939,https://www.nber.org/databases/macrohistory/rectdata/01/a01007b.dat
U.S. Index of Total Physical Production 1863-1921,https://www.nber.org/databases/macrohistory/rectdata/01/a01008a.dat
Germany Index of Industrial Production 1860-1913,https://www.nber.org/databases/macrohistory/rectdata/01/a01008aa.dat
Germany Index of Production 1913-1931,https://www.nber.org/databases/macrohistory/rectdata/01/a01008ab.dat
Germany Index of Production 1925-1937,https://www.nber.org/databases/macrohistory/rectdata/01/a01008ae.dat
Germany Index of Industrial Production 1919-1931,https://www.nber.org/databases/macrohistory/rectdata/01/a01008ad.dat
"U.S. Index of Crop Production, Industrial Production and Trade 1921-1932",https://www.nber.org/databases/macrohistory/rectdata/01/a01008b.dat
"France Index of Industrial Production, Total 1898-1938",https://www.nber.org/databases/macrohistory/rectdata/01/a01008ba.dat
France Index of Industrial Production 1928-1938,https://www.nber.org/databases/macrohistory/rectdata/01/a01008bb.dat
U.S. Wheat Crop 1866-1952,https://www.nber.org/databases/macrohistory/rectdata/01/a01009a.dat
U.K. Wheat Production 1852-1891,https://www.nber.org/databases/macrohistory/rectdata/01/a01010a.dat
U.K. Wheat Crop 1885-1938,https://www.nber.org/databases/macrohistory/rectdata/01/a01010b.dat
Germany Wheat Crop 1878-1898,https://www.nber.org/databases/macrohistory/rectdata/01/a01011a.dat
Germany Wheat Crop 1893-1917,https://www.nber.org/databases/macrohistory/rectdata/01/a01011b.dat
Germany Wheat Crop 1911-1937,https://www.nber.org/databases/macrohistory/rectdata/01/a01011c.dat
Germany Wheat Crop 1933-1944,https://www.nber.org/databases/macrohistory/rectdata/01/a01011d.dat
France Wheat Crop 1815-1919,https://www.nber.org/databases/macrohistory/rectdata/01/a01012a.dat
France Wheat Crop 1919-1938,https://www.nber.org/databases/macrohistory/rectdata/01/a01012b.dat
World Wheat Crop 1885-1938,https://www.nber.org/databases/macrohistory/rectdata/01/a01013.dat
U.S. Potato Crop 1866-1951,https://www.nber.org/databases/macrohistory/rectdata/01/a01014.dat
Germany Potato Crop 1878-1898,https://www.nber.org/databases/macrohistory/rectdata/01/a01016.dat
Germany Potato Crop 1893-1917,https://www.nber.org/databases/macrohistory/rectdata/01/a01016a.dat
Germany Potato Crop 1911-1934,https://www.nber.org/databases/macrohistory/rectdata/01/a01016b.dat
Germany Potato Crop 1929-1938,https://www.nber.org/databases/macrohistory/rectdata/01/a01016c.dat
"Great Britain -- England, Wales, Scotland Potatoes, Production 1884-1939",https://www.nber.org/databases/macrohistory/rectdata/01/a01017.dat
"France Potato Crop 1815-1824, 1829-1919",https://www.nber.org/databases/macrohistory/rectdata/01/a01017a.dat
France Potato Crop 1914-1938,https://www.nber.org/databases/macrohistory/rectdata/01/a01017b.dat
France Potato Crop 1933-1944,https://www.nber.org/databases/macrohistory/rectdata/01/a01017c.dat
Germany Rye Crop 1878-1898,https://www.nber.org/databases/macrohistory/rectdata/01/a01018a.dat
Germany Rye Crop 1893-1917,https://www.nber.org/databases/macrohistory/rectdata/01/a01018b.dat
Germany Rye Crop 1911-1937,https://www.nber.org/databases/macrohistory/rectdata/01/a01018c.dat
Germany Rye Crop 1933-1944,https://www.nber.org/databases/macrohistory/rectdata/01/a01018d.dat
"France Rye Crop 1815-1835, 1840, 1852, 1862, 1871-1881",https://www.nber.org/databases/macrohistory/rectdata/01/a01019a.dat
France Rye Crop 1882-1919,https://www.nber.org/databases/macrohistory/rectdata/01/a01019b.dat
France Rye Crop 1917-1938,https://www.nber.org/databases/macrohistory/rectdata/01/a01019c.dat
Great Britian Barley Crop 1884-1938,https://www.nber.org/databases/macrohistory/rectdata/01/a01020.dat
"Germany Barley Crop, Spring Barley Only 1878-1898",https://www.nber.org/databases/macrohistory/rectdata/01/a01020aa.dat
