,URL
U.S. Domestic Exports of Crude Foodstuffs 07/1905-06/1956,https://data.nber.org/databases/macrohistory/rectdata/07/m07001.dat
U.S. Domestic Exports of Manufactured Foodstuffs 07/1905-06/1956,https://data.nber.org/databases/macrohistory/rectdata/07/m07002.dat
U.S. Domestic Exports of Crude Materials 07/1905-06/1956,https://data.nber.org/databases/macrohistory/rectdata/07/m07003.dat
U.S. Domestic Exports of Semi-Manufactures 07/1905-06/1956,https://data.nber.org/databases/macrohistory/rectdata/07/m07004.dat
U.S. Domestic Exports of Finished Manufactures 07/1905-06/1956,https://data.nber.org/databases/macrohistory/rectdata/07/m07005.dat
Great Britain Value of Exports Of Foodstuff 01/1882-12/1901,https://data.nber.org/databases/macrohistory/rectdata/07/m07006a.dat
Great Britain Value of Exports Of Foodstuffs 01/1901-12/1940,https://data.nber.org/databases/macrohistory/rectdata/07/m07006b.dat
"U.K. Exports of Raw Materials, Value 01/1882-12/1902",https://data.nber.org/databases/macrohistory/rectdata/07/m07007a.dat
U.K. Exports of Raw Materials and Articles Mainly Unmanufactured 01/1901-12/1940,https://data.nber.org/databases/macrohistory/rectdata/07/m07007b.dat
Great Britain Value of Exports Of Finished Goods 01/1882-12/1902,https://data.nber.org/databases/macrohistory/rectdata/07/m07008a.dat
Great Britain Value of Exports Of Finished Goods 01/1901-12/1940,https://data.nber.org/databases/macrohistory/rectdata/07/m07008b.dat
"France Exports, Food 08/1880-07/1939",https://data.nber.org/databases/macrohistory/rectdata/07/m07009.dat
"France Raw Materials, Exports 08/1880-07/1939",https://data.nber.org/databases/macrohistory/rectdata/07/m07010.dat
"France Exports, Manufactured Goods 01/1878-07/1939",https://data.nber.org/databases/macrohistory/rectdata/07/m07011.dat
U.S. Imports For Consumption of Crude Food Stuffs 07/1905-06/1956,https://data.nber.org/databases/macrohistory/rectdata/07/m07012.dat
U.S. Imports of Manufactured Foodstuffs 07/1905-06/1956,https://data.nber.org/databases/macrohistory/rectdata/07/m07013.dat
U.S. Imports For Consumption of Crude Materials 07/1905-05/1956,https://data.nber.org/databases/macrohistory/rectdata/07/m07014.dat
U.S. Imports For Consumption of Semi-Manufactures 07/1905-06/1956,https://data.nber.org/databases/macrohistory/rectdata/07/m07015.dat
U.S. Imports For Consumption of Finished Manufactures 07/1905-06/1956,https://data.nber.org/databases/macrohistory/rectdata/07/m07016.dat
"Great Britain Imports of Foodstuffs, Value 01/1882-12/1902",https://data.nber.org/databases/macrohistory/rectdata/07/m07017a.dat
"Great Britain Imports of Foodstuffs, Value 01/1901-03/1935",https://data.nber.org/databases/macrohistory/rectdata/07/m07017b.dat
"U.K. Imports of Raw Materials, Value 02/1882-12/1902",https://data.nber.org/databases/macrohistory/rectdata/07/m07018a.dat
"U.K. Imports of Raw Materials, Value 01/1901-03/1935",https://data.nber.org/databases/macrohistory/rectdata/07/m07018b.dat
Great Britain Value of Imports Of Finished Goods 01/1882-12/1902,https://data.nber.org/databases/macrohistory/rectdata/07/m07019a.dat
Great Britain Value of Imports Of Finished Goods 01/1901-03/1935,https://data.nber.org/databases/macrohistory/rectdata/07/m07019b.dat
"France Foodstuffs, Imports, Value 01/1878-12/1887",https://data.nber.org/databases/macrohistory/rectdata/07/m07020.dat
"France Raw Materials - Imports, Value 01/1878-12/1887",https://data.nber.org/databases/macrohistory/rectdata/07/m07021a.dat
"France Raw Materials - Imports, Value 01/1885-07/1939",https://data.nber.org/databases/macrohistory/rectdata/07/m07021b.dat
"France Manufactured Goods, Imports 01/1878-12/1887",https://data.nber.org/databases/macrohistory/rectdata/07/m07022a.dat
"France Foodstuffs, Imports, Value 01/1885-12/1939",https://data.nber.org/databases/macrohistory/rectdata/07/m07022b.dat
U.S. Total Exports 07/1866-10/1969,https://data.nber.org/databases/macrohistory/rectdata/07/m07023.dat
Great Britain Total Exports of Produce and Manufactures 12/1854-12/1953,https://data.nber.org/databases/macrohistory/rectdata/07/m07024.dat
"Germany Exports, Total, Weight 03/1891-06/1914, 01/1919-12/1919, 07/1920-11/1935",https://data.nber.org/databases/macrohistory/rectdata/07/m07025.dat
"Germany Value of Exports FIRST 1892-SECOND 1914 1/1909-06/1914, 01/1919-12/1920, 05/1921-08/1922, 10/1923-11/1935",https://data.nber.org/databases/macrohistory/rectdata/07/m07026.dat
"France Exports, Total 01/1878-07/1939",https://data.nber.org/databases/macrohistory/rectdata/07/m07027.dat
U.S. Total Imports 07/1866-10/1969,https://data.nber.org/databases/macrohistory/rectdata/07/m07028.dat
"Great Britain Total Imports, Value 01/1856-12/1950",https://data.nber.org/databases/macrohistory/rectdata/07/m07029.dat
"Germany Total Imports - Weight, (Einfuhr) 03/1891-06/1914, 01/1919-12/1919, 07/1920-12/1920, 05/1921-11/1935",https://data.nber.org/databases/macrohistory/rectdata/07/m07030.dat
"Germany Value of Imports (Einfahr) FIRST 1892-SECOND 1914 01/1909-06/1914, 01/1919-12/1919, 05/1921-08/1922, 10/1923-11/1935",https://data.nber.org/databases/macrohistory/rectdata/07/m07031.dat
France Imports - Total Value 01/1878-07/1939,https://data.nber.org/databases/macrohistory/rectdata/07/m07032.dat
Great Britain Total Exports of Railway Materials 01/1857-12/1936,https://data.nber.org/databases/macrohistory/rectdata/07/m07033a.dat
Great Britain Total Exports of Railway Materials 01/1920-06/1937,https://data.nber.org/databases/macrohistory/rectdata/07/m07033b.dat
Great Britain Total Exports of Cotton Yarn 12/1851-06/1937,https://data.nber.org/databases/macrohistory/rectdata/07/m07034.dat
Great Britain Total Exports of Linen Piece Goods 01/1854-12/1933,https://data.nber.org/databases/macrohistory/rectdata/07/m07035.dat
Great Gritain Total Exports of Cotton Piece Goods 01/1851-12/1921,https://data.nber.org/databases/macrohistory/rectdata/07/m07036a.dat
Great Britain Total Exports of Cotton Piece Goods 01/1921-12/1936,https://data.nber.org/databases/macrohistory/rectdata/07/m07036b.dat
U.S. Raw Silk Imports 01/1867-12/1886,https://data.nber.org/databases/macrohistory/rectdata/07/m07037a.dat
U.S. Raw Silk Imports 07/1882-12/1924,https://data.nber.org/databases/macrohistory/rectdata/07/m07037b.dat
U.S. Raw Silk Imports 01/1919-02/1940,https://data.nber.org/databases/macrohistory/rectdata/07/m07037c.dat
U.S. Coffee Imports 01/1867-06/1941,https://data.nber.org/databases/macrohistory/rectdata/07/m07038.dat
U.S. Banana Imports 07/1907-06/1941,https://data.nber.org/databases/macrohistory/rectdata/07/m07039.dat
U.S. Tea Imports 01/1867-09/1941,https://data.nber.org/databases/macrohistory/rectdata/07/m07040.dat
"U.S. Tin Imports 01/1867-06/1893, 08/1893-06/1941",https://data.nber.org/databases/macrohistory/rectdata/07/m07042.dat
U.S. Raw Cotton Exports 01/1867-12/1941,https://data.nber.org/databases/macrohistory/rectdata/07/m07043a.dat
U.S. Raw Cotton Exports 01/1938-12/1955,https://data.nber.org/databases/macrohistory/rectdata/07/m07043b.dat
"U.S. Crude Rubber Imports 07/1868-09/1868, 11/1868-12/1892",https://data.nber.org/databases/macrohistory/rectdata/07/m07044a.dat
U.S. Crude Rubber Imports 10/1890-12/1912,https://data.nber.org/databases/macrohistory/rectdata/07/m07044b.dat
U.S. Crude Rubber Imports 01/1910-01/1957,https://data.nber.org/databases/macrohistory/rectdata/07/m07044c.dat
U.S. Imports of Lead 03/1894-06/1941,https://data.nber.org/databases/macrohistory/rectdata/07/m07045.dat
U.S. Raw Cattle Hides Imports 01/1920-12/1955,https://data.nber.org/databases/macrohistory/rectdata/07/m07046.dat
U.S. Merchandise Trade Balance: Excess of Total Exports Over General Imports 07/1866-10/1969,https://data.nber.org/databases/macrohistory/rectdata/07/m07047.dat
"U.S. Quantity Index of Exports Of Domestic Merchandise FIRST, 1929-SECOND, 1933 07/1933-04/1953",https://data.nber.org/databases/macrohistory/rectdata/07/q07048.dat
"U.S. Value Index of Exports Of Domestic Merchandise FIRST, 1929-SECOND, 1933 07/1933-04/1953",https://data.nber.org/databases/macrohistory/rectdata/07/q07049.dat
"U.S. Quality Index of Imports For Consumption FIRST, 1929-SECOND, 1933 07/1933-04/1953",https://data.nber.org/databases/macrohistory/rectdata/07/q07050.dat
"U.S. Value Index of Imports For Consumption FIRST, 1929-SECOND, 1933 07/1933-04/1953",https://data.nber.org/databases/macrohistory/rectdata/07/q07051.dat
"Germany Value of Exports FIRST 1892-SECOND 1914 01/1909-06/1914, 01/1919-12/1920, 05/1921-08/1922, 10/1923-11/1935.",https://data.nber.org/databases/macrohistory/rectdata/07/q07026.dat
"Germany Value of Imports (Einfahr) FIRST, 1892 - SECOND, 1914 01/1909-16/1914, 01/1919-12/1919, 05/1921-08/1922, 10/1923-11/1935.",https://data.nber.org/databases/macrohistory/rectdata/07/q07031.dat
