,URL
"U.S. Consumer Outlay, Total, in Current Prices 1919-1943",https://data.nber.org/databases/macrohistory/rectdata/06/a06073.dat
"U.S. Consumer Outlay, Total, in Constant 1929 Prices 1919-1943",https://data.nber.org/databases/macrohistory/rectdata/06/a06074.dat
"U.S. Consumer Outlay, Perishable Goods, in Constant 1929 Prices 1919-1943",https://data.nber.org/databases/macrohistory/rectdata/06/a06075.dat
"U.S. Consumer Outlay, Semi-Durable Goods, in Constant 1929 Prices 1919-1943",https://data.nber.org/databases/macrohistory/rectdata/06/a06076.dat
"U.S. Consumer Outlay, Durable Goods, in Constant 1929 Prices 1919-1943",https://data.nber.org/databases/macrohistory/rectdata/06/a06077.dat
"U.S. Consumer Outlay, Services, in Constant 1929 Prices 1919-1943",https://data.nber.org/databases/macrohistory/rectdata/06/a06078.dat
"U.S. Consumer Outlay, Perishable Goods, in Current Prices 1919-1943",https://data.nber.org/databases/macrohistory/rectdata/06/a06080.dat
"U.S. Consumer Outlay, Semi-Durable Goods, in Current Prices 1919-1943",https://data.nber.org/databases/macrohistory/rectdata/06/a06081.dat
U.S. 1919-1943,https://data.nber.org/databases/macrohistory/rectdata/06/a06082.dat
"U.S. Consumer Outlay, Services, in Current Prices 1919-1943",https://data.nber.org/databases/macrohistory/rectdata/06/a06083.dat
U.S. Retail Trade Index 07/1914-12/1919,https://data.nber.org/databases/macrohistory/rectdata/06/m06001a.dat
U.S. Retail Trade Index 01/1919-12/1927,https://data.nber.org/databases/macrohistory/rectdata/06/m06001b.dat
"U.S. Index of Department Store Sales, Seasonally Adjusted 01/1919-12/1946",https://data.nber.org/databases/macrohistory/rectdata/06/m06002a.dat
"U.S. Department Store Sales, Adjusted For Trend, Seasonally Adjusted 01/1939-04/1944",https://data.nber.org/databases/macrohistory/rectdata/06/m06002a2.dat
"U.S. Department Store Sales, Adjusted For Trend and Price Changes, Seasonally Adjusted 01/1919-04/1940",https://data.nber.org/databases/macrohistory/rectdata/06/m06002aa.dat
U.S. Index of Department Store Sales 1919-1963 01/1919-12/1963,https://data.nber.org/databases/macrohistory/rectdata/06/m06002ab.dat
U.S. Index of Department Store Sales 01/1919-12/1963,https://data.nber.org/databases/macrohistory/rectdata/06/m06002b.dat
"U.S. the Physical Volume of Department Store Sales, Seasonally Adjusted 01/1919-04/1944",https://data.nber.org/databases/macrohistory/rectdata/06/m06002ba.dat
U.S. Deflated Purchases of Department Stores 02/1919-08/1939,https://data.nber.org/databases/macrohistory/rectdata/06/m06002c.dat
U.S. Deflator For Department Store Sales 01/1919-04/1944,https://data.nber.org/databases/macrohistory/rectdata/06/m06002d.dat
"U.S. Index of Mail Order House Sales, Adjusted For Trend and Price Change, Seasonally Adjusted 01/1919-12/1943",https://data.nber.org/databases/macrohistory/rectdata/06/m06003a.dat
"U.S. Catalog Sales, Total Sales, Two Mail Order Houses 01/1911-12/1919",https://data.nber.org/databases/macrohistory/rectdata/06/m06003aa.dat
"U.S. Catalog Sales, Total Sales, Two Mail Order Houses 01/1919-12/1944",https://data.nber.org/databases/macrohistory/rectdata/06/m06003ab.dat
"U.S. Catalog Sales, Total Sales, Two Mail Order Houses 01/1945-01/1957",https://data.nber.org/databases/macrohistory/rectdata/06/m06003ac.dat
"U.S. Total Sales, Catalog and Store, Two Mail Order Houses 01/1956-01/1959",https://data.nber.org/databases/macrohistory/rectdata/06/m06003ad.dat
"U.S. Index of Sales By Five and Ten Cent Variety Store Chains, Seasonally Adjusted 01/1919-03/1934",https://data.nber.org/databases/macrohistory/rectdata/06/m06004a.dat
"U.S. Index of Sales By Five and Ten Cent Variety Store Chains, Seasonally Adjusted 01/1929-11/1943",https://data.nber.org/databases/macrohistory/rectdata/06/m06004b.dat
"U.S. Sales By Variety Chain Stores, Firms With Four Or More Stores 01/1935-12/1951",https://data.nber.org/databases/macrohistory/rectdata/06/m06004c.dat
"U.S. Sales By Variety Store Chains, Firms With Eleven Or More Stores 01/1951-08/1956",https://data.nber.org/databases/macrohistory/rectdata/06/m06004d.dat
"U.S. Index of Sales Per Store, Variety Chain Stores 01/1919-03/1940",https://data.nber.org/databases/macrohistory/rectdata/06/m06005.dat
"U.S. Vendor Performance, Percent Reporting Slower Deliveries 01/1946-02/1967",https://data.nber.org/databases/macrohistory/rectdata/06/m06006.dat
"U.S. Restaurant Chains, Sales Per Store 01/1920-12/1923",https://data.nber.org/databases/macrohistory/rectdata/06/m06007a.dat
"U.S. Three Restaurant Chains, Average Sales Per Restaurant 01/1923-11/1938",https://data.nber.org/databases/macrohistory/rectdata/06/m06007b.dat
"U.S. Sales By Grocery Chain Stores, Seasonally Adjusted 01/1919-12/1943",https://data.nber.org/databases/macrohistory/rectdata/06/m06008a.dat
U.S. Sales By Grocery Chain Stores 01/1935-12/1951,https://data.nber.org/databases/macrohistory/rectdata/06/m06008b.dat
U.S. Sales of Grocery Chain Stores 01/1951-05/1956,https://data.nber.org/databases/macrohistory/rectdata/06/m06008c.dat
"U.S. Variety Chain Store Sales, Adjusted For Trend, Price, and Seasonal Changes 01/1919-12/1943",https://data.nber.org/databases/macrohistory/rectdata/06/m06009.dat
"U.S. Sales of Chain Shoe Stores, Seasonally Adjusted 01/1919-08/1929",https://data.nber.org/databases/macrohistory/rectdata/06/m06010.dat
"U.S. Sales of Retail Chain Stores, Drug Chains, Seasonally Adjusted 01/1919-12/1929",https://data.nber.org/databases/macrohistory/rectdata/06/m06011.dat
"U.S. Index of Wholesale Trade Sales, Nine Lines 01/1919-12/1928",https://data.nber.org/databases/macrohistory/rectdata/06/m06012a.dat
"U.S. Wholesale Total Sales, Eight Lines, Seasonally Adjusted 01/1923-12/1929",https://data.nber.org/databases/macrohistory/rectdata/06/m06012b.dat
"U.S. Index of Wholesale Trade, Groceries Sales 01/1919-12/1929",https://data.nber.org/databases/macrohistory/rectdata/06/m06013.dat
"U.S. Index of Wholesale Trade Sales, Meats, Seasonally Adjusted 01/1921-12/1929",https://data.nber.org/databases/macrohistory/rectdata/06/m06014.dat
"U.S. Index of Wholesale Trade Sales, Dry Goods, Seasonally Adjusted 01/1919-12/1930",https://data.nber.org/databases/macrohistory/rectdata/06/m06015.dat
"U.S. Index of Wholesale Trade, Men's Clothing Sales 01/1919-12/1929",https://data.nber.org/databases/macrohistory/rectdata/06/m06016.dat
