,URL
U.S. Net Income of Corporations Reporting Net Income 1909-1940,https://data.nber.org/databases/macrohistory/rectdata/09/a09008.dat
"U.S. Deficits of All Corporations, Not Reporting Income 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09009.dat
"U.S. Net Income, Agricultural Corporations Reporting 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09010.dat
"U.S. Deficit, Agricultural Corporations 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09011.dat
"U.S. Corporattions Reporting Income, Mining and Quarrying 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09012.dat
U.S. Deficits of Mining and Quarrying Corporations 1916-1940,https://data.nber.org/databases/macrohistory/rectdata/09/a09013.dat
"U.S. Corporate Net Income, Manufacturers, Total 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09014.dat
"U.S. Deficits, Manufacturing Companies 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09015.dat
"U.S. Corporate Net Earnings, Construction 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09016.dat
"U.S. Deficits, Construction Corporations 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09017.dat
"U.S. Corporate Net Income, Transportation and Other Public Utilities 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09018.dat
"U.S. Deficits, Transportation and Other Public Utility Companies 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09019.dat
U.S. Corporate Net Income Trade 1916-1940,https://data.nber.org/databases/macrohistory/rectdata/09/a09020.dat
"U.S. Deficits, Trading Companies 1917-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09021.dat
"U.S. Corporate Net Income, Service 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09022.dat
"U.S. Deficits, Service Companies (Professional, Hotels and Amusement, Etc.) 1917-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09023.dat
"U.S. Corporate Earnings, Finance 1916-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09024.dat
"U.S. Deficits, Finance Companies 1917-1940",https://data.nber.org/databases/macrohistory/rectdata/09/a09025.dat
"U.S. Net Income, Large Manufacturing Corporations 1915-1922",https://data.nber.org/databases/macrohistory/rectdata/09/a09050a.dat
"U.S. Net Income, Large Manufacturing Corporations 1921-1943",https://data.nber.org/databases/macrohistory/rectdata/09/a09050b.dat
"U.S. Changes in Total Funds, Large Manufacturing Corporation, NBER 1915-1922",https://data.nber.org/databases/macrohistory/rectdata/09/a09051a.dat
"U.S. Changes in Total Funds, Large Manufacturing Corporation, NBER 1921-1943",https://data.nber.org/databases/macrohistory/rectdata/09/a09051b.dat
"U.S. Changes in Funds From Outside, Large Manufacturing Corporation, NBER 1915-1922",https://data.nber.org/databases/macrohistory/rectdata/09/a09052a.dat
"U.S. Changes in Funds From Outside, Large Manufacturing Corporation, NBER 1921-1943",https://data.nber.org/databases/macrohistory/rectdata/09/a09052b.dat
"U.S. Changes in Operating Assets, Large Manufacturing Corporations, NBER 1915-1922",https://data.nber.org/databases/macrohistory/rectdata/09/a09053a.dat
"U.S. Changes in Operating Assets, Large Manufacturing Corporations, NBER 1921-1943",https://data.nber.org/databases/macrohistory/rectdata/09/a09053b.dat
"U.S. Changes in Fixed Property Assets, Large Manufacturing Corporations, NBER 1915-1922",https://data.nber.org/databases/macrohistory/rectdata/09/a09054a.dat
"U.S. Changes in Fixed Property Assets, Large Manufacturing Corporations, NBER 1921-1943",https://data.nber.org/databases/macrohistory/rectdata/09/a09054b.dat
