,URL
"U.S. Deflated Bank Debits For 140 Outside Centers, Seasonally Adjusted 01/1919-11/1939",https://data.nber.org/databases/macrohistory/rectdata/12/m12018c.dat
U.S. Bank Clearings in Seven Cities Outside of New York City 01/1875-12/1914,https://data.nber.org/databases/macrohistory/rectdata/12/m12019a.dat
"U.S. Clearings Index of Business, Seasonally Adjusted 03/1875-12/1929",https://data.nber.org/databases/macrohistory/rectdata/12/m12020a.dat
"U.S. Clearings Index of Business, Seasonally Adjusted 01/1919-12/1939",https://data.nber.org/databases/macrohistory/rectdata/12/m12020b.dat
"Great Britain --London London Bank Clearings, Total 05/1867-07/1939",https://data.nber.org/databases/macrohistory/rectdata/12/m12021.dat
"Great Britain --London London Bank Clearings, Stock Exchange Settling Days 05/1867-07/1914",https://data.nber.org/databases/macrohistory/rectdata/12/m12024.dat
Germany Clearings of Reichsbank 12/1883-03/1927,https://data.nber.org/databases/macrohistory/rectdata/12/m12027a.dat
Germany Clearings of Reichsbank 06/1923-07/1935,https://data.nber.org/databases/macrohistory/rectdata/12/m12027b.dat
"Germany Postal Check Clearings 01/1909-12/1922, 01/1922-11/1934",https://data.nber.org/databases/macrohistory/rectdata/12/m12028.dat
"France --Paris Bank Clearings, Debits and Credits 04/1886-07/1914, 07/1916-07/1939",https://data.nber.org/databases/macrohistory/rectdata/12/m12029.dat
"U.S. Bank Debits 01/1919-02/1933, 04/1933-05/1943",https://data.nber.org/databases/macrohistory/rectdata/12/m12030.dat
"U.S. Cash Income From Farming, Total 01/1924-12/1935",https://data.nber.org/databases/macrohistory/rectdata/12/m12031a.dat
"U.S. Cash Income From Farming, Total 01/1935-12/1949",https://data.nber.org/databases/macrohistory/rectdata/12/m12031b.dat
"Great Britain Index of British Business, Seasonally Adjusted FIRST, 1855 - SECOND, 1914",https://data.nber.org/databases/macrohistory/rectdata/12/q12010.dat
