,URL
London Price of Bar Silver 1833-1933,https://data.nber.org/databases/macrohistory/rectdata/04/a04018.dat
Germany --Hamburg Index of Wholesale Prices 1851-1900,https://data.nber.org/databases/macrohistory/rectdata/04/a04054.dat
U.S. Index of Farm Prices Of 58 Foods 1913-1942,https://data.nber.org/databases/macrohistory/rectdata/04/a04183.dat
"U.S. Index of Retail Price Of 58 Foods, Bureau Of Agricultural Economics 1913-1942",https://data.nber.org/databases/macrohistory/rectdata/04/a04184.dat
"U.S. Wholesale Price of Wheat, Chicago, Six Markets 07/1841-07/1944",https://data.nber.org/databases/macrohistory/rectdata/04/m04001a.dat
"U.S. Wholesale Price of Wheat, Chicago; Six Markets 01/1938-08/1952",https://data.nber.org/databases/macrohistory/rectdata/04/m04001b.dat
Great Britain Wheat Prices 09/1845-10/1934,https://data.nber.org/databases/macrohistory/rectdata/04/m04002.dat
"Germany --Berlin Wholesale Price of Wheat 01/1879-06/1925, 08/1925-05/1926, 08/1926-06/1927, 08/1927-07/1935",https://data.nber.org/databases/macrohistory/rectdata/04/m04003.dat
"France --Paris Wheat Prices FIRST, 1917-FOURTH, 1921 01/1892-02/1924, 09/1924-06/1934",https://data.nber.org/databases/macrohistory/rectdata/04/q04004.dat
"U.S. Wholesale Price of Corn, Chicago 01/1860-12/1951",https://data.nber.org/databases/macrohistory/rectdata/04/m04005.dat
"U.S. Wholesale Price of Cotton, New York; 10 Markets 09/1870-12/1945",https://data.nber.org/databases/macrohistory/rectdata/04/m04006a.dat
U.S. Farm Prices of Cottonseed 09/1910-06/1938,https://data.nber.org/databases/macrohistory/rectdata/04/m04006aa.dat
U.S. Farm Prices of Cottonseed 07/1927-09/1956,https://data.nber.org/databases/macrohistory/rectdata/04/m04006ab.dat
"U.S. Wholesale Price of Cotton, New York, 10 Markets 01/1937-07/1955",https://data.nber.org/databases/macrohistory/rectdata/04/m04006b.dat
"U.S. Wholesale Price of Cotton, New York; 14 Markets 08/1954-03/1958",https://data.nber.org/databases/macrohistory/rectdata/04/m04006c.dat
"U.S. Wholesale Price of Cattle, Chicago 01/1858-12/1940",https://data.nber.org/databases/macrohistory/rectdata/04/m04007.dat
"U.S. Wholesale Price of Hogs, Chicago, 01/1858-12/1940",https://data.nber.org/databases/macrohistory/rectdata/04/m04008.dat
"Germany --Berlin Wool, Wholesale Price 01/1879-12/1915, 02/1921-02/1931",https://data.nber.org/databases/macrohistory/rectdata/04/m04009.dat
"U.S. Sheep Prices, Chicago 01/1874-12/1904",https://data.nber.org/databases/macrohistory/rectdata/04/m04009a.dat
"Germany --Munchen (Munich) Hides, Wholesale Price 01/1887-12/1909, 02/1910-06/1916, 11/1916-12/1917, 08/1919-12/1919, 01/1924-12/1934",https://data.nber.org/databases/macrohistory/rectdata/04/m04009aa.dat
"Germany --Frankfort Hides, Wholesale Price 01/1921-12/1923",https://data.nber.org/databases/macrohistory/rectdata/04/m04009ab.dat
"U.S. Sheep Prices, Chicago 01/1901-07/1941",https://data.nber.org/databases/macrohistory/rectdata/04/m04009b.dat
"U.S. Wholesale Price of Pig Iron, Composite, NBER 01/1890-12/1915",https://data.nber.org/databases/macrohistory/rectdata/04/m04010a.dat
"U.S. Wholesale Price of Pig Iron, Composite, NBER 01/1914-12/1922",https://data.nber.org/databases/macrohistory/rectdata/04/m04010b.dat
"U.S. Wholesale Price of Pig Oron, Composite, NBER 01/1921-06/1942",https://data.nber.org/databases/macrohistory/rectdata/04/m04010c.dat
"U.S. Wholesale Price of Pig Iron, Composite, NBER; the Iron Age 01/1938-04/1958",https://data.nber.org/databases/macrohistory/rectdata/04/m04010d.dat
"U.S. Prices of No. 1 Anthracite Foundry Pig Iron in Philadelphia 05/1842-12/1842, 01/1844-09/1914",https://data.nber.org/databases/macrohistory/rectdata/04/m04011a.dat
"U.S. Wholesale Price of Pig Iron, Eastern Pennsylvania 01/1910-03/1949",https://data.nber.org/databases/macrohistory/rectdata/04/m04011b.dat
"Great Britain Pig Iron Price, Scotch Pig 01/1874-12/1897",https://data.nber.org/databases/macrohistory/rectdata/04/m04012a.dat
"Great Britain Pig Iron Prices, Cleveland No. 3 01/1886-12/1933",https://data.nber.org/databases/macrohistory/rectdata/04/m04012b.dat
